epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.57119,0.57578,0.93972,0.83027,0.99967,0.99862,0.995,0.89496,0.46187,0.3603,0.77977,0.000408333,0.000408333,0.000408333
2,12.7866,0.405,0.31983,0.79197,0.76533,0.99835,0.76232,0.73109,0.35718,14.2875,0.7645,0.000816833,0.000816833,0.000816833
3,18.9403,0.432,0.33074,0.79647,0.99945,0.99958,0.995,0.95114,0.31185,0.29471,0.76394,0.00121708,0.00121708,0.00121708
4,25.3516,0.37285,0.28278,0.79196,0.99931,1,0.995,0.9505,0.33662,0.24164,0.76525,0.00121287,0.00121287,0.00121287
5,31.699,0.33272,0.24201,0.78674,0.99968,1,0.995,0.9764,0.24242,0.20053,0.75904,0.0012005,0.0012005,0.0012005
6,38.1816,0.34301,0.23292,0.7858,0.99956,1,0.995,0.96819,0.23676,0.18819,0.75829,0.00118812,0.00118812,0.00118812
7,44.5507,0.311,0.21974,0.78158,0.99968,1,0.995,0.96453,0.2553,0.19044,0.75963,0.00117575,0.00117575,0.00117575
8,51.0093,0.28622,0.20854,0.77617,0.99961,1,0.995,0.97614,0.22198,0.18827,0.75879,0.00116337,0.00116337,0.00116337
9,57.4624,0.2764,0.20661,0.7792,0.99972,1,0.995,0.98226,0.20354,0.16791,0.75646,0.001151,0.001151,0.001151
10,63.8744,0.2883,0.20953,0.78117,0.99975,1,0.995,0.98148,0.19358,0.15527,0.75467,0.00113863,0.00113863,0.00113863
11,70.2432,0.27014,0.18887,0.77878,0.9998,1,0.995,0.98276,0.18617,0.1568,0.75345,0.00112625,0.00112625,0.00112625
12,76.7184,0.27431,0.19296,0.77852,0.99968,1,0.995,0.97696,0.20491,0.1778,0.75611,0.00111388,0.00111388,0.00111388
13,82.9547,0.26618,0.20108,0.77822,0.99978,1,0.995,0.98281,0.20444,0.16199,0.75673,0.0011015,0.0011015,0.0011015
14,89.3079,0.24873,0.18357,0.77456,0.99974,1,0.995,0.98731,0.17326,0.14841,0.75434,0.00108913,0.00108913,0.00108913
15,95.6311,0.23034,0.16917,0.77185,0.99974,1,0.995,0.9895,0.17372,0.14226,0.75386,0.00107675,0.00107675,0.00107675
16,101.968,0.24068,0.17448,0.7746,0.99974,1,0.995,0.98597,0.21174,0.16794,0.75602,0.00106437,0.00106437,0.00106437
17,108.222,0.22481,0.17408,0.77177,0.99978,1,0.995,0.98559,0.16846,0.15156,0.75313,0.001052,0.001052,0.001052
18,114.602,0.22515,0.17638,0.76902,0.99976,1,0.995,0.9899,0.1682,0.15026,0.75432,0.00103962,0.00103962,0.00103962
19,120.906,0.22922,0.18231,0.77109,0.99985,1,0.995,0.99127,0.16535,0.15738,0.75316,0.00102725,0.00102725,0.00102725
20,127.266,0.2269,0.18199,0.77324,0.99976,0.99963,0.995,0.98662,0.19439,0.16765,0.75544,0.00101488,0.00101488,0.00101488
21,133.511,0.2262,0.1812,0.77379,0.99978,0.99998,0.995,0.98543,0.17611,0.16488,0.75352,0.0010025,0.0010025,0.0010025
22,139.5,0.22805,0.18477,0.76885,0.99975,1,0.995,0.98979,0.1682,0.15734,0.75283,0.000990125,0.000990125,0.000990125
23,145.531,0.22923,0.17937,0.77287,0.99976,1,0.995,0.99228,0.16848,0.15523,0.75255,0.00097775,0.00097775,0.00097775
24,151.703,0.22043,0.17174,0.77023,0.99985,1,0.995,0.99049,0.1657,0.15107,0.75278,0.000965375,0.000965375,0.000965375
25,157.883,0.21913,0.16864,0.77484,0.9998,1,0.995,0.99014,0.17192,0.15236,0.75316,0.000953,0.000953,0.000953
