epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.7376,1.43506,5.00443,1.15226,0.0835,0.375,0.15813,0.05497,1.60671,4.16788,1.22597,7.5e-05,7.5e-05,7.5e-05
2,3.15919,1.05086,1.94498,0.97858,0.86732,0.82015,0.84649,0.59427,1.00415,2.30252,0.93187,0.000160891,0.000160891,0.000160891
3,4.50442,0.81976,1.04963,0.87192,0.95248,0.82289,0.88453,0.66985,0.75593,1.23855,0.86996,0.00024505,0.00024505,0.00024505
4,5.77862,0.75554,0.80121,0.88892,0.95556,0.82951,0.88053,0.70351,0.69279,0.66541,0.85446,0.000327476,0.000327476,0.000327476
5,7.08756,0.71593,0.78201,0.84749,0.91738,0.83887,0.89042,0.73061,0.60616,0.63975,0.83497,0.00040817,0.00040817,0.00040817
6,8.42392,0.63697,0.64924,0.84454,0.88471,0.84109,0.86901,0.73024,0.61798,0.68554,0.839,0.000487131,0.000487131,0.000487131
7,9.65464,0.74654,0.6812,0.86937,0.76623,0.86675,0.70697,0.54658,0.70878,19.1127,0.85671,0.00056436,0.00056436,0.00056436
8,10.8557,0.71491,0.62252,0.83947,0.72903,0.88111,0.72546,0.5866,0.65022,8.0611,0.85648,0.000639856,0.000639856,0.000639856
9,12.0567,0.68626,0.56344,0.84061,0.56373,0.87676,0.57155,0.48707,0.66207,6.22243,0.84975,0.00071362,0.00071362,0.00071362
10,13.2328,0.65059,0.52687,0.84923,0.60556,0.89812,0.6224,0.50222,0.66584,19.0302,0.85081,0.000785651,0.000785651,0.000785651
11,14.5602,0.62038,0.50217,0.82323,0.87132,0.88854,0.8265,0.67804,0.60927,0.6522,0.84186,0.00085595,0.00085595,0.00085595
12,15.8593,0.62173,0.46764,0.85247,0.74158,0.91346,0.75223,0.62617,0.6391,1.23399,0.85003,0.000924516,0.000924516,0.000924516
13,17.1092,0.60267,0.45506,0.82977,0.79046,0.91569,0.76754,0.64736,0.58195,0.92621,0.83586,0.00099135,0.00099135,0.00099135
14,18.4071,0.57055,0.46622,0.81837,0.94662,0.94231,0.96697,0.7942,0.65176,0.489,0.85629,0.00105645,0.00105645,0.00105645
15,19.7741,0.62344,0.47551,0.83809,0.9858,0.94083,0.95546,0.80747,0.6098,0.42335,0.84485,0.00107675,0.00107675,0.00107675
16,21.0996,0.59319,0.44011,0.82091,0.98818,0.94547,0.95226,0.81995,0.58508,0.41977,0.83176,0.00106437,0.00106437,0.00106437
17,22.397,0.56688,0.43461,0.81063,0.99161,0.9319,0.95168,0.80806,0.57397,0.43619,0.82705,0.001052,0.001052,0.001052
18,23.613,0.52445,0.39679,0.8124,0.96899,0.92106,0.9597,0.83327,0.51057,0.43776,0.82355,0.00103962,0.00103962,0.00103962
19,24.9102,0.5294,0.41872,0.8152,0.98112,0.93448,0.96277,0.83315,0.55306,0.4117,0.82015,0.00102725,0.00102725,0.00102725
20,26.2871,0.52898,0.3897,0.81577,0.97238,0.94886,0.96723,0.84744,0.50201,0.38122,0.81477,0.00101488,0.00101488,0.00101488
21,27.6302,0.5152,0.36394,0.81305,0.96763,0.95212,0.9697,0.84914,0.48536,0.36387,0.81275,0.0010025,0.0010025,0.0010025
22,28.9752,0.51619,0.37469,0.82117,0.9827,0.96154,0.96848,0.84793,0.49393,0.36011,0.81318,0.000990125,0.000990125,0.000990125
23,30.2142,0.51205,0.355,0.8018,0.99371,0.95476,0.97112,0.84093,0.50514,0.35021,0.81686,0.00097775,0.00097775,0.00097775
24,31.5833,0.49105,0.36446,0.82078,0.9785,0.96877,0.9702,0.87719,0.43704,0.31624,0.81026,0.000965375,0.000965375,0.000965375
25,32.922,0.48514,0.3372,0.81634,0.97408,0.97115,0.9706,0.86824,0.44918,0.31419,0.81189,0.000953,0.000953,0.000953
26,34.1416,0.45701,0.32195,0.8024,0.96471,0.94874,0.96442,0.86989,0.43144,0.32837,0.80653,0.000940625,0.000940625,0.000940625
27,35.3817,0.46753,0.32174,0.80856,0.98167,0.95817,0.96511,0.87504,0.42311,0.31714,0.80928,0.00092825,0.00092825,0.00092825
28,36.6142,0.46135,0.32859,0.80453,0.97268,0.96069,0.97368,0.87429,0.42319,0.33256,0.80704,0.000915875,0.000915875,0.000915875
29,37.8762,0.44941,0.30924,0.79608,0.98306,0.9575,0.96999,0.87456,0.43285,0.35145,0.80847,0.0009035,0.0009035,0.0009035
30,39.1387,0.451,0.3155,0.80915,0.97734,0.95192,0.96009,0.8538,0.43402,0.3961,0.80643,0.000891125,0.000891125,0.000891125
31,40.3677,0.45816,0.32219,0.79246,0.99084,0.95088,0.96909,0.85432,0.47396,0.35385,0.81017,0.00087875,0.00087875,0.00087875
32,41.6422,0.45829,0.30729,0.79333,0.9712,0.95724,0.97252,0.86588,0.43502,0.31929,0.80876,0.000866375,0.000866375,0.000866375
