epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.06082,0.70684,6.09196,0.90061,0.02326,0.2,0.01524,0.01162,0.75109,4.95209,0.97007,2.5e-05,2.5e-05,2.5e-05
2,1.61157,0.622,6.27711,0.8992,0.02564,0.2,0.02013,0.01574,0.81207,4.93395,0.97801,6.18813e-05,6.18813e-05,6.18813e-05
3,2.19707,0.86196,5.46132,0.90062,0.46697,0.5,0.52234,0.4424,0.64753,7.74379,0.93867,9.802e-05,9.802e-05,9.802e-05
4,3.08215,0.58761,2.32816,0.87679,1,0.99208,0.995,0.84593,0.66004,9.86065,0.92458,0.000133416,0.000133416,0.000133416
5,3.99055,0.55146,1.38253,0.85757,0.99305,1,0.995,0.87655,0.50025,7.17547,0.86375,0.00016807,0.00016807,0.00016807
6,4.8726,0.51213,1.17814,0.8583,0.99455,1,0.995,0.89012,0.44453,5.87563,0.85149,0.000201981,0.000201981,0.000201981
7,5.7507,0.47511,0.82549,0.85121,0.9955,1,0.995,0.89104,0.45047,2.82033,0.85714,0.00023515,0.00023515,0.00023515
8,6.64181,0.44215,1.05025,0.79471,0.99547,1,0.995,0.8977,0.45673,2.20872,0.85066,0.000267576,0.000267576,0.000267576
9,7.53003,0.65218,0.74078,0.8725,0.99676,1,0.995,0.91941,0.42708,4.36363,0.83816,0.00029926,0.00029926,0.00029926
10,8.37957,0.53357,0.80174,0.89741,0.97867,0.9,0.89794,0.82614,0.43973,13.6633,0.84067,0.000330201,0.000330201,0.000330201
11,9.1969,0.47056,0.86053,0.79894,0.99595,1,0.995,0.92218,0.39666,79.5933,0.82913,0.0003604,0.0003604,0.0003604
12,10.0401,0.4495,0.67598,0.83882,0.99364,0.9,0.93036,0.86359,0.3783,98.3764,0.82535,0.000389856,0.000389856,0.000389856
13,10.84,0.37142,0.6035,0.82122,0.97109,1,0.995,0.92574,0.44315,118.722,0.84225,0.00041857,0.00041857,0.00041857
14,11.7065,0.45378,0.54228,0.82901,0.0793,0.7,0.05975,0.05711,0.34437,135.46,0.82359,0.000446541,0.000446541,0.000446541
15,12.5697,0.43603,0.59945,0.86992,0.98755,1,0.995,0.92768,0.42694,100.563,0.8487,0.00047377,0.00047377,0.00047377
16,13.4228,0.42061,0.50684,0.82865,0.99481,1,0.995,0.90677,0.47044,36.8654,0.87149,0.000500256,0.000500256,0.000500256
17,14.2081,0.39057,0.47081,0.82682,0.99494,1,0.995,0.94129,0.35871,16.3576,0.82366,0.000526,0.000526,0.000526
18,15.0696,0.40356,0.50736,0.83511,0.99516,1,0.995,0.94449,0.33274,3.21535,0.82062,0.000551001,0.000551001,0.000551001
19,15.9471,0.39527,0.39266,0.83358,0.99424,1,0.995,0.95958,0.31394,1.1227,0.81912,0.00057526,0.00057526,0.00057526
20,16.7931,0.42258,0.44763,0.83089,0.99505,1,0.995,0.94058,0.40367,29.6427,0.83331,0.000598776,0.000598776,0.000598776
21,17.5636,0.45481,0.43314,0.81964,0.99734,1,0.995,0.92433,0.40717,42.538,0.83859,0.00062155,0.00062155,0.00062155
22,18.3381,0.45595,0.41562,0.81301,0.99484,0.9,0.91195,0.85609,0.37595,62.0052,0.83539,0.000643581,0.000643581,0.000643581
