epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.89143,0.9146,4.49031,0.92471,0.35761,0.21062,0.18819,0.16359,0.81286,3.19795,0.82302,6.25e-05,6.25e-05,6.25e-05
2,3.16179,0.72433,1.58884,0.85937,0.95694,0.95974,0.96474,0.81812,0.68323,0.86171,0.78259,0.000136139,0.000136139,0.000136139
3,4.39527,0.65352,0.75226,0.83881,0.97589,0.89588,0.96921,0.8163,0.68148,0.82147,0.79328,0.000208293,0.000208293,0.000208293
4,5.52637,0.60993,0.6046,0.81377,0.47182,0.82322,0.60998,0.52741,0.6247,7.82428,0.78202,0.000278961,0.000278961,0.000278961
5,6.61732,0.63731,0.61572,0.82764,0.72235,0.87852,0.753,0.62862,0.62932,5.71084,0.78246,0.000348145,0.000348145,0.000348145
6,7.70528,0.64517,0.62693,0.82576,0.94692,0.87887,0.96948,0.81879,0.62784,1.31563,0.77974,0.000415844,0.000415844,0.000415844
7,8.87185,0.6282,0.5808,0.83563,0.94099,0.96198,0.9825,0.81484,0.65039,0.4949,0.78816,0.000482057,0.000482057,0.000482057
8,9.95639,0.64668,0.54755,0.83776,0.9582,0.98004,0.97223,0.78519,0.64421,0.44187,0.78642,0.000546786,0.000546786,0.000546786
9,11.0383,0.62805,0.51559,0.82669,0.98055,0.9931,0.98639,0.8168,0.70537,0.46271,0.79921,0.00061003,0.00061003,0.00061003
10,12.1044,0.63696,0.50899,0.81751,0.89783,0.95817,0.94764,0.81016,0.6203,0.6253,0.78122,0.000671789,0.000671789,0.000671789
11,13.1847,0.62233,0.44159,0.81422,0.96143,0.99051,0.99067,0.81838,0.6373,0.42015,0.78636,0.000732063,0.000732063,0.000732063
12,14.3288,0.65943,0.50254,0.81238,0.97807,0.99501,0.99023,0.83284,0.63022,0.46248,0.77811,0.000790851,0.000790851,0.000790851
13,15.4819,0.62671,0.49632,0.81756,0.97585,0.99315,0.98852,0.83901,0.6478,0.44484,0.78863,0.000848155,0.000848155,0.000848155
14,16.6214,0.62038,0.46964,0.82107,0.981,0.97853,0.97902,0.83182,0.62055,0.44091,0.77525,0.000903974,0.000903974,0.000903974
15,17.6609,0.63552,0.4447,0.83454,0.97436,0.96774,0.97445,0.84178,0.64155,0.44551,0.77525,0.000958307,0.000958307,0.000958307
16,18.7968,0.65194,0.45359,0.82786,0.97163,0.99684,0.98744,0.81751,0.65918,0.42265,0.78501,0.00101116,0.00101116,0.00101116
17,19.8398,0.63951,0.45285,0.80701,0.96924,0.97661,0.98725,0.82113,0.64779,0.42483,0.78195,0.001052,0.001052,0.001052
18,20.9026,0.66879,0.45868,0.8394,0.96172,0.97686,0.98753,0.83417,0.59448,0.41969,0.77644,0.00103962,0.00103962,0.00103962
19,21.9399,0.57802,0.43058,0.81647,0.97884,0.99196,0.98846,0.84344,0.62319,0.3864,0.78001,0.00102725,0.00102725,0.00102725
20,23.0954,0.60903,0.41937,0.81834,0.97553,0.98806,0.98477,0.83646,0.58547,0.37289,0.77495,0.00101488,0.00101488,0.00101488
21,24.1475,0.56731,0.42199,0.82671,0.98358,0.99536,0.99068,0.85191,0.57615,0.37622,0.77643,0.0010025,0.0010025,0.0010025
22,25.3128,0.57288,0.40312,0.81424,0.98126,0.98964,0.99218,0.84095,0.6372,0.46241,0.78866,0.000990125,0.000990125,0.000990125
23,26.3529,0.59421,0.40871,0.81588,0.98264,0.98797,0.99057,0.84358,0.63257,0.4574,0.78931,0.00097775,0.00097775,0.00097775
24,27.4154,0.58988,0.40535,0.82284,0.97097,0.98736,0.98652,0.8528,0.5774,0.38241,0.77429,0.000965375,0.000965375,0.000965375
25,28.5404,0.56664,0.3855,0.79828,0.97498,0.98549,0.98422,0.84428,0.60003,0.38097,0.77975,0.000953,0.000953,0.000953
26,29.5952,0.57311,0.38197,0.81894,0.98116,0.98873,0.98328,0.8506,0.58509,0.37337,0.77535,0.000940625,0.000940625,0.000940625
27,30.6284,0.57368,0.35983,0.80858,0.98276,0.99073,0.98557,0.86032,0.56984,0.37505,0.77524,0.00092825,0.00092825,0.00092825
28,31.7665,0.57021,0.35016,0.82193,0.98117,0.98935,0.99043,0.87015,0.62194,0.39443,0.77988,0.000915875,0.000915875,0.000915875
29,32.88,0.5984,0.36418,0.81451,0.97914,0.99109,0.99029,0.85624,0.6138,0.38574,0.77753,0.0009035,0.0009035,0.0009035
30,33.948,0.59665,0.35306,0.8287,0.98186,0.99437,0.99166,0.86061,0.5896,0.34287,0.77413,0.000891125,0.000891125,0.000891125
31,34.9844,0.56883,0.34846,0.81552,0.98367,0.99421,0.9921,0.84916,0.6245,0.36577,0.78442,0.00087875,0.00087875,0.00087875
32,36.0414,0.56172,0.33544,0.80684,0.98204,0.99367,0.98947,0.85882,0.57401,0.34506,0.77651,0.000866375,0.000866375,0.000866375
33,37.086,0.60264,0.35032,0.82303,0.98138,0.99367,0.98991,0.86665,0.5737,0.33934,0.77779,0.000854,0.000854,0.000854
34,38.1541,0.57947,0.34888,0.81016,0.98157,0.99277,0.99175,0.87485,0.57578,0.3411,0.77477,0.000841625,0.000841625,0.000841625
35,39.2925,0.52566,0.33737,0.80979,0.98008,0.99379,0.99133,0.87718,0.54739,0.33045,0.77199,0.00082925,0.00082925,0.00082925
36,40.4854,0.52708,0.35073,0.79634,0.9705,0.99476,0.99044,0.87816,0.54796,0.34689,0.76767,0.000816875,0.000816875,0.000816875
37,41.6195,0.50654,0.3312,0.80461,0.96329,0.9397,0.97987,0.87108,0.56754,0.40314,0.76859,0.0008045,0.0008045,0.0008045
38,42.684,0.51919,0.33108,0.80784,0.9792,0.98221,0.98273,0.86076,0.56938,0.33595,0.7755,0.000792125,0.000792125,0.000792125
39,43.7235,0.53068,0.34189,0.8167,0.98187,0.99513,0.98613,0.8652,0.5727,0.34494,0.77445,0.00077975,0.00077975,0.00077975
40,44.7977,0.53362,0.33703,0.80996,0.98178,0.99453,0.9875,0.8681,0.56517,0.32,0.77365,0.000767375,0.000767375,0.000767375
41,45.8901,0.54085,0.34089,0.80859,0.98245,0.99364,0.98852,0.86038,0.61998,0.32668,0.77975,0.000755,0.000755,0.000755
42,47.0054,0.51442,0.32565,0.80592,0.97634,0.99455,0.98747,0.86398,0.59864,0.33718,0.77822,0.000742625,0.000742625,0.000742625
43,48.1127,0.52285,0.35846,0.80217,0.97662,0.98436,0.9855,0.86571,0.57417,0.33341,0.77281,0.00073025,0.00073025,0.00073025
44,49.2334,0.50278,0.32903,0.79705,0.98047,0.99075,0.98535,0.85255,0.63087,0.3509,0.77524,0.000717875,0.000717875,0.000717875
45,50.3185,0.52008,0.31714,0.80492,0.96878,0.99338,0.98536,0.86856,0.58654,0.33716,0.76986,0.0007055,0.0007055,0.0007055
46,51.381,0.5196,0.31561,0.81254,0.98299,0.9747,0.98866,0.86313,0.57324,0.32581,0.77163,0.000693125,0.000693125,0.000693125
47,52.4255,0.49873,0.31164,0.79639,0.98403,0.97261,0.98859,0.86613,0.62147,0.34089,0.77857,0.00068075,0.00068075,0.00068075
48,53.5062,0.50587,0.34505,0.80557,0.97942,0.99335,0.99387,0.8777,0.57454,0.31585,0.7734,0.000668375,0.000668375,0.000668375
49,54.5416,0.50893,0.31033,0.80017,0.97961,0.99648,0.99448,0.8782,0.56401,0.3214,0.77057,0.000656,0.000656,0.000656
50,55.6825,0.50339,0.31886,0.79646,0.98393,0.99135,0.99392,0.87009,0.58833,0.32487,0.77561,0.000643625,0.000643625,0.000643625
51,56.7207,0.51482,0.30953,0.79339,0.9828,0.99132,0.99272,0.87793,0.57051,0.31749,0.77284,0.00063125,0.00063125,0.00063125
52,57.7798,0.49353,0.29704,0.81294,0.98132,0.99197,0.98665,0.86514,0.56773,0.32311,0.76901,0.000618875,0.000618875,0.000618875
53,58.8237,0.50543,0.30697,0.80293,0.98275,0.99262,0.9866,0.86944,0.58221,0.32271,0.76908,0.0006065,0.0006065,0.0006065
54,59.9226,0.49999,0.30002,0.8048,0.9843,0.99449,0.98608,0.86089,0.56027,0.31155,0.76889,0.000594125,0.000594125,0.000594125
55,60.9708,0.48534,0.29491,0.79264,0.9835,0.99501,0.98596,0.86721,0.55895,0.30413,0.76955,0.00058175,0.00058175,0.00058175
56,62.034,0.48832,0.29392,0.80251,0.97839,0.99684,0.98786,0.87171,0.5489,0.30104,0.76905,0.000569375,0.000569375,0.000569375
57,63.0827,0.46237,0.28813,0.80824,0.97601,0.99684,0.98884,0.87407,0.54878,0.29328,0.76886,0.000557,0.000557,0.000557
58,64.1546,0.47282,0.28582,0.80189,0.97921,0.99621,0.98817,0.87626,0.57857,0.30811,0.76965,0.000544625,0.000544625,0.000544625
59,65.2457,0.49016,0.29075,0.79953,0.98211,0.99482,0.98878,0.87672,0.56683,0.30515,0.76732,0.00053225,0.00053225,0.00053225
60,66.3568,0.48109,0.27981,0.81852,0.98391,0.99032,0.99097,0.8715,0.54082,0.3063,0.76546,0.000519875,0.000519875,0.000519875
61,67.4787,0.47406,0.28533,0.79854,0.98347,0.99182,0.99147,0.87597,0.56508,0.31535,0.76695,0.0005075,0.0005075,0.0005075
62,68.6037,0.47083,0.28258,0.80317,0.97978,0.99479,0.99234,0.88036,0.54139,0.30765,0.76713,0.000495125,0.000495125,0.000495125
63,69.7927,0.44772,0.28019,0.79301,0.97802,0.98835,0.99244,0.8897,0.54863,0.295,0.76735,0.00048275,0.00048275,0.00048275
64,70.9977,0.46655,0.27557,0.79118,0.98046,0.98341,0.9898,0.88731,0.55247,0.30519,0.76801,0.000470375,0.000470375,0.000470375
65,72.0849,0.44502,0.26912,0.79964,0.97963,0.98436,0.9908,0.8786,0.55012,0.30452,0.76746,0.000458,0.000458,0.000458
66,73.1967,0.44703,0.27254,0.78746,0.97202,0.99719,0.99023,0.87192,0.54564,0.28988,0.76788,0.000445625,0.000445625,0.000445625
67,74.2742,0.44763,0.2768,0.7977,0.97964,0.99747,0.99068,0.87907,0.54102,0.29048,0.76683,0.00043325,0.00043325,0.00043325
68,75.3661,0.45659,0.27493,0.79038,0.98148,0.99713,0.99239,0.88478,0.54316,0.28282,0.76768,0.000420875,0.000420875,0.000420875
69,76.506,0.4358,0.26524,0.79682,0.9814,0.99708,0.99284,0.89068,0.52934,0.27869,0.76551,0.0004085,0.0004085,0.0004085
70,77.7081,0.44071,0.26498,0.79941,0.98158,0.99656,0.99125,0.88188,0.55858,0.29978,0.76797,0.000396125,0.000396125,0.000396125
71,78.7913,0.44876,0.26832,0.8029,0.98122,0.99663,0.99068,0.87451,0.57121,0.29846,0.77,0.00038375,0.00038375,0.00038375
72,79.9118,0.44699,0.26924,0.79105,0.97899,0.99739,0.99182,0.88566,0.54888,0.28694,0.76679,0.000371375,0.000371375,0.000371375
73,81.0053,0.44434,0.27244,0.79872,0.97675,0.99766,0.99182,0.889,0.53723,0.28584,0.76504,0.000359,0.000359,0.000359
74,82.1113,0.43406,0.26312,0.78518,0.97406,0.99866,0.99239,0.88192,0.54414,0.29125,0.76448,0.000346625,0.000346625,0.000346625
75,83.2179,0.42133,0.26447,0.79661,0.97137,0.99944,0.99284,0.88529,0.53644,0.28874,0.76422,0.00033425,0.00033425,0.00033425
76,84.3304,0.4145,0.26388,0.7899,0.97252,0.98644,0.99187,0.88352,0.53755,0.28442,0.76604,0.000321875,0.000321875,0.000321875
77,85.4161,0.44279,0.27111,0.79715,0.97272,0.98543,0.98995,0.89006,0.53303,0.29047,0.76435,0.0003095,0.0003095,0.0003095
78,86.5573,0.40875,0.25768,0.78884,0.9715,0.98645,0.98935,0.88143,0.53499,0.29129,0.76525,0.000297125,0.000297125,0.000297125
79,87.6378,0.4145,0.25786,0.79687,0.97174,0.98621,0.98995,0.88585,0.53657,0.28998,0.76605,0.00028475,0.00028475,0.00028475
80,88.7534,0.40857,0.26066,0.79518,0.97425,0.99826,0.99182,0.88278,0.52571,0.28931,0.76435,0.000272375,0.000272375,0.000272375
81,89.8477,0.41911,0.25664,0.79048,0.97899,0.99611,0.99182,0.8897,0.53129,0.28662,0.76564,0.00026,0.00026,0.00026
82,90.9862,0.4117,0.257,0.78675,0.98069,0.99491,0.99338,0.88084,0.54266,0.28057,0.76658,0.000247625,0.000247625,0.000247625
83,92.0936,0.3951,0.23945,0.78651,0.98046,0.9947,0.99395,0.88548,0.53505,0.28571,0.76498,0.00023525,0.00023525,0.00023525
84,93.2283,0.40585,0.26205,0.79515,0.97899,0.9947,0.99261,0.88576,0.53468,0.28121,0.76524,0.000222875,0.000222875,0.000222875
85,94.3283,0.39316,0.24864,0.7925,0.97769,0.99485,0.99254,0.88388,0.53684,0.28117,0.76516,0.0002105,0.0002105,0.0002105
86,95.4738,0.39467,0.23868,0.7925,0.97567,0.99503,0.99206,0.8799,0.53661,0.2771,0.76491,0.000198125,0.000198125,0.000198125
87,96.5596,0.3915,0.24662,0.78768,0.97459,0.99521,0.99208,0.88356,0.53867,0.27726,0.76519,0.00018575,0.00018575,0.00018575
88,97.6642,0.38545,0.24043,0.79246,0.97399,0.99531,0.98894,0.8896,0.54232,0.28852,0.76545,0.000173375,0.000173375,0.000173375
89,98.7673,0.3864,0.24069,0.78236,0.97664,0.99241,0.989,0.88903,0.54507,0.29041,0.76517,0.000161,0.000161,0.000161
90,99.8876,0.38236,0.2423,0.78838,0.97505,0.99516,0.98843,0.88932,0.53687,0.28202,0.76456,0.000148625,0.000148625,0.000148625
91,103.871,0.38031,0.24399,0.77809,0.97735,0.99485,0.98846,0.88861,0.53269,0.27825,0.76436,0.00013625,0.00013625,0.00013625
92,104.988,0.38066,0.24212,0.78813,0.97934,0.99499,0.98852,0.88525,0.54091,0.27427,0.76514,0.000123875,0.000123875,0.000123875
93,106.104,0.36578,0.22982,0.77839,0.98011,0.99522,0.98807,0.88448,0.54056,0.27588,0.76539,0.0001115,0.0001115,0.0001115
94,107.272,0.37828,0.22915,0.78392,0.98152,0.99569,0.98693,0.88367,0.54288,0.27757,0.76652,9.9125e-05,9.9125e-05,9.9125e-05
95,108.423,0.34744,0.22869,0.77539,0.98194,0.9957,0.98693,0.88139,0.54184,0.27552,0.76625,8.675e-05,8.675e-05,8.675e-05
96,109.618,0.34589,0.22061,0.77967,0.98237,0.99573,0.98807,0.88124,0.5337,0.273,0.76559,7.4375e-05,7.4375e-05,7.4375e-05
97,110.738,0.34685,0.22014,0.77114,0.98223,0.99583,0.98852,0.88378,0.53298,0.27295,0.76505,6.2e-05,6.2e-05,6.2e-05
98,111.896,0.35178,0.21959,0.77141,0.9815,0.99617,0.98852,0.88184,0.53539,0.26816,0.76473,4.9625e-05,4.9625e-05,4.9625e-05
99,113.018,0.35007,0.22184,0.78604,0.9805,0.99646,0.98852,0.88246,0.53517,0.26575,0.76486,3.725e-05,3.725e-05,3.725e-05
