epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.56248,1.52971,2.47728,1.17404,0.8171,0.83832,0.86129,0.49534,1.37614,1.01498,1.17137,0.00019278,0.00019278,0.00019278
2,8.49456,1.39424,0.97584,1.13763,0.89253,0.89043,0.89249,0.51117,1.44351,0.82979,1.24939,0.000388812,0.000388812,0.000388812
3,12.2655,1.41075,0.86393,1.18301,0.80263,0.9156,0.82313,0.47544,1.37861,0.91196,1.22225,0.000580886,0.000580886,0.000580886
4,15.8334,1.33347,0.78787,1.13551,0.79818,0.86474,0.85413,0.50698,1.35232,0.71608,1.22335,0.000692794,0.000692794,0.000692794
5,19.3556,1.3689,0.73551,1.13975,0.80007,0.87195,0.88409,0.5222,1.36143,0.70389,1.21318,0.000685726,0.000685726,0.000685726
6,22.9927,1.35439,0.69939,1.13646,0.91239,0.91265,0.91817,0.55177,1.3384,0.61959,1.17628,0.000678657,0.000678657,0.000678657
7,26.6577,1.36977,0.6723,1.15429,0.8828,0.92616,0.91734,0.53654,1.39008,0.65938,1.20099,0.000671588,0.000671588,0.000671588
8,30.302,1.37278,0.68445,1.13823,0.832,0.87572,0.87504,0.51905,1.39664,0.68974,1.20602,0.00066452,0.00066452,0.00066452
9,33.8244,1.31101,0.64859,1.13108,0.91015,0.90788,0.90947,0.54757,1.34739,0.61645,1.18997,0.000657451,0.000657451,0.000657451
10,37.3357,1.27929,0.62983,1.09894,0.90816,0.91548,0.92462,0.55526,1.30597,0.57648,1.17551,0.000650383,0.000650383,0.000650383
11,40.9427,1.31936,0.61757,1.10004,0.90499,0.94084,0.93473,0.57943,1.30307,0.56594,1.16018,0.000643314,0.000643314,0.000643314
12,44.5598,1.28736,0.61359,1.12072,0.90164,0.93749,0.92908,0.56788,1.31382,0.57487,1.17302,0.000636245,0.000636245,0.000636245
13,48.0823,1.26323,0.61767,1.10946,0.894,0.92451,0.92523,0.55665,1.32548,0.5701,1.16546,0.000629177,0.000629177,0.000629177
14,51.6957,1.26288,0.61328,1.094,0.896,0.91957,0.91003,0.55436,1.30223,0.55698,1.16035,0.000622108,0.000622108,0.000622108
