epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.19472,1.89824,4.37175,1.46335,0.38832,0.4022,0.31216,0.18943,1.63635,2.80059,1.32477,6.426e-05,6.426e-05,6.426e-05
2,4.17175,1.43482,1.9065,1.19699,0.56477,0.63284,0.55629,0.3839,1.1613,3.9514,1.0997,0.000134317,0.000134317,0.000134317
3,5.95795,1.21882,1.27249,1.089,0.71106,0.76848,0.70912,0.52422,1.05237,1.50037,1.06617,0.00020296,0.00020296,0.00020296
4,7.72219,1.0773,1.10493,1.04881,0.72608,0.79626,0.74663,0.56334,1.01834,1.2295,1.0642,0.00027019,0.00027019,0.00027019
5,9.48084,1.01208,0.96151,1.03179,0.85945,0.81811,0.83369,0.59088,0.98907,0.95481,1.04502,0.000336006,0.000336006,0.000336006
6,11.262,0.97614,0.88116,1.02503,0.86755,0.82986,0.84957,0.63844,0.8959,0.88752,0.99494,0.000400408,0.000400408,0.000400408
7,13.0114,0.94172,0.82798,0.99923,0.84422,0.84216,0.84054,0.64121,0.82869,0.7256,0.97975,0.000463396,0.000463396,0.000463396
8,14.7958,0.88428,0.75766,0.98909,0.82563,0.84342,0.84214,0.64937,0.84847,0.77286,0.98133,0.000524971,0.000524971,0.000524971
9,16.6637,0.88565,0.74127,0.96406,0.84343,0.85889,0.86307,0.6629,0.85681,0.76394,0.98411,0.000585132,0.000585132,0.000585132
10,18.4923,0.82688,0.72853,0.96312,0.89019,0.86944,0.89564,0.69987,0.78967,0.65839,0.97791,0.000643879,0.000643879,0.000643879
11,20.3586,0.82512,0.69792,0.96146,0.84151,0.89086,0.8819,0.67677,0.78819,0.72596,0.97101,0.000643314,0.000643314,0.000643314
