epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.52092,2.11766,2.38079,1.5948,0.49386,0.6436,0.48473,0.26811,1.51434,5.76437,1.3273,0.00023324,0.00023324,0.00023324
2,14.2265,1.53446,1.3706,1.28174,0.60757,0.73476,0.70512,0.38761,1.35075,1.4355,1.21997,0.000466575,0.000466575,0.000466575
3,20.5464,1.32157,1.20531,1.17605,0.82936,0.7938,0.84081,0.54643,1.18486,0.9366,1.13863,0.000695197,0.000695197,0.000695197
4,26.8689,1.20335,1.01986,1.11621,0.82429,0.84403,0.86002,0.56704,1.10252,0.84274,1.09312,0.000692794,0.000692794,0.000692794
5,33.3214,1.127,0.88045,1.09047,0.8284,0.8349,0.86033,0.59532,1.02404,0.79766,1.06018,0.000685726,0.000685726,0.000685726
6,39.7383,1.08369,0.81366,1.0483,0.89773,0.89526,0.92537,0.68152,0.8885,0.65353,0.98414,0.000678657,0.000678657,0.000678657
7,46.4201,1.0212,0.70855,1.03159,0.94023,0.90623,0.94222,0.70226,0.86287,0.58941,0.98181,0.000671588,0.000671588,0.000671588
8,53.1397,0.95755,0.65452,1.00748,0.94925,0.91969,0.9541,0.72868,0.8299,0.5327,0.97085,0.00066452,0.00066452,0.00066452
9,59.8501,0.93315,0.61725,0.9933,0.96797,0.93277,0.96631,0.75695,0.76861,0.48656,0.93774,0.000657451,0.000657451,0.000657451
10,66.4259,0.83585,0.57021,0.96134,0.94462,0.90997,0.94655,0.73644,0.76832,0.50747,0.95393,0.000650383,0.000650383,0.000650383
11,72.8523,0.84658,0.56546,0.96072,0.94518,0.91886,0.94685,0.72953,0.78014,0.50006,0.95213,0.000643314,0.000643314,0.000643314
12,79.3155,0.82511,0.54902,0.95408,0.97201,0.93903,0.96734,0.78338,0.68797,0.43787,0.90122,0.000636245,0.000636245,0.000636245
13,85.8213,0.79681,0.51532,0.93644,0.95109,0.94373,0.96346,0.7865,0.68125,0.43517,0.9032,0.000629177,0.000629177,0.000629177
14,92.3638,0.7569,0.49842,0.92785,0.96551,0.94783,0.96733,0.80043,0.64371,0.39353,0.88496,0.000622108,0.000622108,0.000622108
15,98.7801,0.71604,0.47681,0.91333,0.96853,0.94642,0.97469,0.77793,0.73346,0.4218,0.91217,0.00061504,0.00061504,0.00061504
16,105.14,0.7236,0.47608,0.91656,0.97771,0.9496,0.97348,0.80954,0.62663,0.37334,0.88142,0.000607971,0.000607971,0.000607971
17,111.542,0.72382,0.471,0.91388,0.97301,0.95552,0.97484,0.82244,0.60684,0.37233,0.87251,0.000600902,0.000600902,0.000600902
18,117.997,0.7021,0.46059,0.90138,0.9814,0.94917,0.97476,0.8381,0.56442,0.36409,0.86335,0.000593834,0.000593834,0.000593834
19,124.34,0.67572,0.4413,0.90107,0.97236,0.96165,0.97636,0.85095,0.54069,0.33793,0.8568,0.000586765,0.000586765,0.000586765
20,130.706,0.66046,0.43178,0.89352,0.9797,0.95319,0.97517,0.83496,0.57261,0.35226,0.86372,0.000579697,0.000579697,0.000579697
21,137.062,0.6424,0.42538,0.8918,0.95031,0.91501,0.93904,0.7657,0.68732,0.41569,0.95921,0.000572628,0.000572628,0.000572628
