epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.07281,2.59937,4.29484,2.00559,0.55188,0.32561,0.28163,0.10696,2.49263,2.68316,1.84904,6.426e-05,6.426e-05,6.426e-05
2,3.92434,2.23427,2.18335,1.63071,0.8217,0.49393,0.53239,0.2405,2.03046,1.86796,1.5395,0.000134317,0.000134317,0.000134317
3,5.79964,1.95806,1.74345,1.43178,0.80264,0.59067,0.66605,0.35979,1.59178,1.58813,1.36361,0.00020296,0.00020296,0.00020296
4,7.66803,1.79244,1.61458,1.4206,0.57752,0.59694,0.58463,0.26184,1.78142,2.00112,1.49052,0.00027019,0.00027019,0.00027019
5,9.37384,1.63244,1.48182,1.32841,0.61356,0.74336,0.71554,0.40376,1.47734,1.82313,1.32651,0.000336006,0.000336006,0.000336006
6,11.2036,1.51554,1.38174,1.27357,0.64451,0.69122,0.69665,0.39247,1.40361,1.85217,1.26493,0.000400408,0.000400408,0.000400408
7,13.0119,1.49816,1.37395,1.24974,0.60435,0.6425,0.64449,0.34518,1.50072,1.53503,1.42368,0.000463396,0.000463396,0.000463396
8,14.8258,1.43557,1.34375,1.24401,0.662,0.80922,0.78863,0.47622,1.2737,1.19066,1.20221,0.000524971,0.000524971,0.000524971
9,16.6445,1.3775,1.24526,1.18124,0.72438,0.78034,0.79999,0.47269,1.30865,1.18052,1.2214,0.000585132,0.000585132,0.000585132
10,18.3743,1.43198,1.21691,1.21784,0.67437,0.77449,0.79279,0.44284,1.36353,1.18179,1.24568,0.000643879,0.000643879,0.000643879
11,20.2606,1.42078,1.18219,1.21253,0.68509,0.84227,0.79272,0.4649,1.32573,1.06545,1.22652,0.000643314,0.000643314,0.000643314
12,21.9998,1.32795,1.13421,1.16646,0.74441,0.77096,0.82248,0.50263,1.18223,1.07009,1.14584,0.000636245,0.000636245,0.000636245
13,23.7393,1.25703,1.07503,1.13064,0.80078,0.76102,0.82666,0.50974,1.24245,1.01881,1.1731,0.000629177,0.000629177,0.000629177
14,25.499,1.28105,1.02024,1.14819,0.74179,0.77081,0.79779,0.49511,1.22715,0.99568,1.20008,0.000622108,0.000622108,0.000622108
15,27.136,1.2112,1.04342,1.12757,0.78699,0.79659,0.82742,0.55694,1.11513,0.88999,1.11364,0.00061504,0.00061504,0.00061504
16,28.9235,1.23664,0.99743,1.12425,0.7788,0.79749,0.82362,0.44459,1.54862,1.04232,1.32558,0.000607971,0.000607971,0.000607971
17,30.627,1.24968,0.97491,1.13645,0.85732,0.797,0.86926,0.59159,1.08533,0.82406,1.09929,0.000600902,0.000600902,0.000600902
18,32.527,1.1652,0.94316,1.10427,0.78859,0.83656,0.86574,0.54173,1.21025,0.89452,1.15386,0.000593834,0.000593834,0.000593834
19,34.1948,1.09862,0.91767,1.06264,0.86114,0.8514,0.88745,0.57947,1.10623,0.84241,1.10219,0.000586765,0.000586765,0.000586765
20,35.9062,1.0903,0.86548,1.05492,0.77717,0.83808,0.84764,0.57138,1.10511,0.81908,1.10541,0.000579697,0.000579697,0.000579697
21,37.6087,1.07657,0.83328,1.06853,0.82072,0.81125,0.84561,0.56014,1.08348,0.82674,1.10949,0.000572628,0.000572628,0.000572628
22,39.295,1.0378,0.80002,1.03964,0.93432,0.844,0.90205,0.60214,1.1335,0.71096,1.12105,0.000565559,0.000565559,0.000565559
23,41.1114,1.04608,0.76029,1.04288,0.85279,0.85877,0.88918,0.58849,1.1404,0.72115,1.12024,0.000558491,0.000558491,0.000558491
24,42.8587,1.02409,0.78568,1.04715,0.81667,0.83606,0.84545,0.50996,1.37869,0.77854,1.27555,0.000551422,0.000551422,0.000551422
25,44.7637,1.04433,0.76008,1.04108,0.85761,0.86204,0.87284,0.60347,1.05589,0.67274,1.08188,0.000544354,0.000544354,0.000544354
26,46.5112,0.98499,0.77046,1.01846,0.89506,0.86024,0.905,0.63731,1.01201,0.66025,1.04891,0.000537285,0.000537285,0.000537285
27,48.3614,0.99524,0.69616,1.00703,0.91788,0.88816,0.91279,0.65758,0.97975,0.59027,1.04643,0.000530216,0.000530216,0.000530216
28,50.2982,1.06448,0.71626,1.02212,0.92232,0.86799,0.91228,0.62173,1.10281,0.65185,1.10982,0.000523148,0.000523148,0.000523148
29,52.0059,0.98062,0.716,1.00801,0.85007,0.82996,0.85383,0.53812,1.28563,0.7491,1.21483,0.000516079,0.000516079,0.000516079
30,53.7217,0.95954,0.67471,0.97682,0.88657,0.88059,0.89035,0.64275,0.96301,0.61421,1.04273,0.000509011,0.000509011,0.000509011
31,55.4151,0.89542,0.64908,0.98183,0.92061,0.88599,0.92534,0.65783,0.98529,0.6054,1.05202,0.000501942,0.000501942,0.000501942
32,57.3532,0.90503,0.64586,0.99499,0.9529,0.88908,0.93379,0.6595,1.02966,0.61715,1.07034,0.000494873,0.000494873,0.000494873
33,59.1772,0.91306,0.62978,0.99841,0.95121,0.89093,0.93234,0.67806,0.92144,0.58749,1.02047,0.000487805,0.000487805,0.000487805
34,60.9469,0.844,0.58768,0.9479,0.92828,0.88826,0.92464,0.66818,0.94827,0.55422,1.02995,0.000480736,0.000480736,0.000480736
35,62.6451,0.85483,0.58163,0.95701,0.89798,0.88963,0.92105,0.66679,0.95586,0.55605,1.03996,0.000473668,0.000473668,0.000473668
36,64.358,0.8617,0.57839,0.95408,0.91446,0.87751,0.92687,0.63306,1.06167,0.5774,1.09946,0.000466599,0.000466599,0.000466599
37,66.0717,0.86541,0.57569,0.95761,0.88862,0.85192,0.88789,0.56785,1.21832,0.65735,1.18894,0.00045953,0.00045953,0.00045953
38,67.925,0.82902,0.55769,0.95153,0.97119,0.89329,0.93192,0.69306,0.90296,0.51058,1.00208,0.000452462,0.000452462,0.000452462
39,69.7724,0.84063,0.55121,0.95517,0.94484,0.91478,0.92939,0.67944,0.9453,0.51622,1.01552,0.000445393,0.000445393,0.000445393
40,71.4848,0.80488,0.5284,0.93963,0.95331,0.91359,0.93758,0.69869,0.92921,0.52036,1.01537,0.000438325,0.000438325,0.000438325
41,73.2788,0.79952,0.50952,0.92531,0.92044,0.90251,0.91286,0.63803,1.06165,0.55252,1.07753,0.000431256,0.000431256,0.000431256
42,75.0664,0.79308,0.5202,0.93571,0.85874,0.82954,0.83945,0.50612,1.4357,0.7376,1.34846,0.000424187,0.000424187,0.000424187
43,76.7644,0.83692,0.5323,0.94996,0.92787,0.88239,0.91814,0.65182,0.97384,0.542,1.05298,0.000417119,0.000417119,0.000417119
44,78.4737,0.76869,0.51414,0.9168,0.93384,0.90965,0.94014,0.69097,0.9636,0.51743,1.03757,0.00041005,0.00041005,0.00041005
45,80.2368,0.76077,0.48967,0.92718,0.96334,0.90722,0.94218,0.7286,0.8449,0.47004,0.98461,0.000402982,0.000402982,0.000402982
46,82.024,0.72088,0.47772,0.91346,0.96232,0.91714,0.94265,0.71334,0.86344,0.46403,0.99368,0.000395913,0.000395913,0.000395913
47,83.7016,0.72229,0.47605,0.8998,0.97887,0.93048,0.96072,0.7447,0.78879,0.4347,0.95987,0.000388844,0.000388844,0.000388844
48,85.4656,0.7215,0.47473,0.91803,0.95787,0.93658,0.96279,0.7418,0.85343,0.44256,0.99547,0.000381776,0.000381776,0.000381776
49,87.1283,0.6922,0.45721,0.90913,0.984,0.93778,0.9637,0.75933,0.77462,0.42288,0.95803,0.000374707,0.000374707,0.000374707
50,88.9129,0.67756,0.44909,0.89072,0.98152,0.92771,0.95942,0.756,0.7699,0.41551,0.95664,0.000367639,0.000367639,0.000367639
51,90.6643,0.69478,0.44225,0.896,0.97119,0.93421,0.95811,0.74395,0.79547,0.41371,0.96042,0.00036057,0.00036057,0.00036057
52,92.361,0.68487,0.44225,0.89267,0.98191,0.92052,0.95522,0.7425,0.804,0.42466,0.97641,0.000353501,0.000353501,0.000353501
53,94.0209,0.6675,0.42701,0.88775,0.974,0.92514,0.95556,0.74529,0.75975,0.40812,0.96053,0.000346433,0.000346433,0.000346433
54,95.6913,0.67404,0.43488,0.89705,0.97286,0.90694,0.95403,0.75319,0.74876,0.39753,0.95682,0.000339364,0.000339364,0.000339364
55,97.378,0.61747,0.41403,0.87894,0.9508,0.94372,0.9567,0.76813,0.7275,0.4039,0.9405,0.000332296,0.000332296,0.000332296
56,99.1787,0.6052,0.40112,0.88371,0.97268,0.93953,0.95725,0.76517,0.71559,0.3917,0.93535,0.000325227,0.000325227,0.000325227
57,100.917,0.65467,0.41868,0.88391,0.98151,0.93248,0.95567,0.7705,0.72582,0.39428,0.93827,0.000318158,0.000318158,0.000318158
58,102.698,0.63984,0.41445,0.88659,0.96156,0.93133,0.95151,0.76147,0.76418,0.41346,0.96102,0.00031109,0.00031109,0.00031109
59,104.425,0.67837,0.42494,0.89534,0.97214,0.93417,0.95541,0.74362,0.80963,0.4188,0.98538,0.000304021,0.000304021,0.000304021
60,106.135,0.63463,0.41612,0.89042,0.96646,0.93842,0.95804,0.76471,0.74622,0.40986,0.95114,0.000296953,0.000296953,0.000296953
61,107.788,0.62213,0.40536,0.88291,0.97249,0.92468,0.95665,0.75833,0.79763,0.40958,0.97822,0.000289884,0.000289884,0.000289884
62,109.435,0.60154,0.39422,0.88007,0.97261,0.92485,0.95491,0.75396,0.78893,0.41387,0.96554,0.000282815,0.000282815,0.000282815
63,111.145,0.58776,0.38543,0.86653,0.95608,0.92375,0.94794,0.74697,0.81685,0.43256,1.0037,0.000275747,0.000275747,0.000275747
64,112.799,0.60293,0.38904,0.87616,0.97209,0.9045,0.9495,0.75798,0.76709,0.43683,0.97571,0.000268678,0.000268678,0.000268678
65,114.411,0.58749,0.38135,0.86791,0.97731,0.92529,0.95865,0.76487,0.74141,0.40303,0.95007,0.00026161,0.00026161,0.00026161
66,116.061,0.59036,0.38024,0.86387,0.9717,0.94366,0.9599,0.76999,0.70803,0.38782,0.93479,0.000254541,0.000254541,0.000254541
67,117.706,0.56069,0.36966,0.8601,0.97005,0.94274,0.95743,0.76607,0.73994,0.39281,0.95105,0.000247472,0.000247472,0.000247472
68,119.343,0.55688,0.37316,0.86792,0.96813,0.94202,0.95667,0.77407,0.73798,0.38634,0.94963,0.000240404,0.000240404,0.000240404
69,121.05,0.5665,0.36696,0.85683,0.97792,0.91356,0.95328,0.76492,0.78689,0.4092,0.9734,0.000233335,0.000233335,0.000233335
70,122.803,0.55813,0.35909,0.86378,0.96653,0.92968,0.95794,0.77026,0.72989,0.39761,0.95154,0.000226267,0.000226267,0.000226267
71,124.426,0.54907,0.36961,0.85692,0.96128,0.93855,0.95618,0.7686,0.7369,0.39299,0.95824,0.000219198,0.000219198,0.000219198
72,126.056,0.53682,0.35343,0.85567,0.97173,0.94035,0.95688,0.78211,0.68226,0.37535,0.93723,0.000212129,0.000212129,0.000212129
73,127.762,0.56089,0.3647,0.85707,0.98066,0.93824,0.95682,0.78222,0.67439,0.3799,0.93169,0.000205061,0.000205061,0.000205061
74,129.482,0.52154,0.35086,0.85493,0.97895,0.93811,0.95715,0.7851,0.69647,0.38043,0.93677,0.000197992,0.000197992,0.000197992
75,131.194,0.51804,0.34604,0.84511,0.98709,0.93829,0.9598,0.77461,0.73358,0.38292,0.94918,0.000190924,0.000190924,0.000190924
76,132.868,0.51558,0.33886,0.84574,0.97294,0.94441,0.95756,0.77906,0.72326,0.38041,0.94851,0.000183855,0.000183855,0.000183855
77,134.687,0.54668,0.3621,0.85732,0.97954,0.93292,0.95583,0.77739,0.70913,0.3772,0.9468,0.000176786,0.000176786,0.000176786
78,136.326,0.53529,0.34581,0.86199,0.97318,0.93361,0.95436,0.76346,0.77251,0.38699,0.97047,0.000169718,0.000169718,0.000169718
79,137.953,0.5269,0.34265,0.85073,0.96606,0.93949,0.95443,0.76555,0.74548,0.38167,0.95335,0.000162649,0.000162649,0.000162649
80,139.656,0.52125,0.34517,0.84737,0.96097,0.93389,0.95619,0.77266,0.74899,0.37975,0.9588,0.000155581,0.000155581,0.000155581
81,141.436,0.50772,0.34648,0.84442,0.95782,0.93448,0.95836,0.78096,0.71726,0.37496,0.94856,0.000148512,0.000148512,0.000148512
