epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.7402,1.10161,1.6779,1.08738,0.75947,0.90085,0.85985,0.65806,0.76477,2.73778,0.95448,0.00023324,0.00023324,0.00023324
2,12.9853,0.74751,0.64182,0.93591,0.96206,0.97622,0.97966,0.81188,0.58626,0.45556,0.8961,0.000466575,0.000466575,0.000466575
3,19.158,0.71946,0.56094,0.9128,0.95501,0.98888,0.98935,0.84615,0.56741,0.46749,0.87937,0.000695197,0.000695197,0.000695197
4,25.2176,0.65922,0.50334,0.89654,0.97657,0.96931,0.98626,0.84835,0.55964,0.40408,0.87582,0.000692794,0.000692794,0.000692794
5,31.346,0.59386,0.45356,0.88781,0.95487,0.99901,0.98436,0.86506,0.48376,0.34851,0.85531,0.000685726,0.000685726,0.000685726
6,37.5995,0.5959,0.42916,0.88216,0.97974,0.98828,0.9929,0.8786,0.49726,0.33421,0.86042,0.000678657,0.000678657,0.000678657
7,43.7272,0.54234,0.3974,0.86852,0.97101,0.98235,0.98467,0.88476,0.47011,0.32033,0.84541,0.000671588,0.000671588,0.000671588
8,49.7766,0.50881,0.37903,0.86145,0.99502,0.99368,0.99491,0.90658,0.42017,0.29016,0.83126,0.00066452,0.00066452,0.00066452
9,55.7635,0.49136,0.37048,0.85064,0.99549,0.98232,0.99455,0.89318,0.43798,0.28382,0.84077,0.000657451,0.000657451,0.000657451
10,61.8173,0.48331,0.36503,0.85176,0.97528,0.99213,0.98955,0.91481,0.38299,0.27986,0.81933,0.000650383,0.000650383,0.000650383
11,67.9131,0.44593,0.34112,0.83907,0.98916,0.98587,0.9925,0.92025,0.34708,0.27583,0.81016,0.000643314,0.000643314,0.000643314
12,74.0337,0.43631,0.34153,0.84253,0.97305,0.99307,0.98696,0.93358,0.3164,0.24372,0.80609,0.000636245,0.000636245,0.000636245
13,80.243,0.42719,0.33244,0.83868,0.9855,0.99711,0.99443,0.93725,0.30629,0.24867,0.8018,0.000629177,0.000629177,0.000629177
14,86.7307,0.41211,0.32143,0.83079,0.96179,1,0.98163,0.93341,0.30384,0.25529,0.79795,0.000622108,0.000622108,0.000622108
15,93.3523,0.4307,0.33095,0.83336,0.99198,0.99071,0.99455,0.94456,0.28964,0.24151,0.79614,0.00061504,0.00061504,0.00061504
16,99.8973,0.39258,0.30976,0.82507,0.97965,0.99813,0.99136,0.93107,0.30635,0.24133,0.7966,0.000607971,0.000607971,0.000607971
17,106.224,0.37704,0.30261,0.8246,0.97672,0.98215,0.98441,0.9228,0.29665,0.24692,0.79993,0.000600902,0.000600902,0.000600902
18,112.598,0.39595,0.31406,0.82411,0.97135,0.99435,0.98934,0.932,0.28523,0.24683,0.7939,0.000593834,0.000593834,0.000593834
19,118.956,0.37581,0.30803,0.82391,0.96408,0.99907,0.98601,0.91574,0.35731,0.2609,0.81392,0.000586765,0.000586765,0.000586765
20,125.363,0.36923,0.30914,0.82573,0.9644,0.99813,0.98413,0.947,0.27996,0.23518,0.79127,0.000579697,0.000579697,0.000579697
21,131.797,0.34925,0.29017,0.81546,0.96099,1,0.99045,0.94042,0.29323,0.23509,0.79589,0.000572628,0.000572628,0.000572628
22,138.205,0.36112,0.29792,0.82178,0.97367,1,0.98978,0.9413,0.2889,0.2315,0.79213,0.000565559,0.000565559,0.000565559
23,144.53,0.36831,0.29136,0.81655,0.99583,0.99295,0.99468,0.94184,0.34422,0.23612,0.80315,0.000558491,0.000558491,0.000558491
24,150.93,0.34901,0.28881,0.81585,0.96347,0.98972,0.97848,0.93907,0.24182,0.22254,0.78511,0.000551422,0.000551422,0.000551422
25,157.328,0.34674,0.29172,0.82246,0.97775,0.99439,0.9869,0.93935,0.24377,0.22411,0.78646,0.000544354,0.000544354,0.000544354
26,163.716,0.33724,0.28771,0.81565,0.96865,0.99813,0.98738,0.94817,0.28331,0.22331,0.79378,0.000537285,0.000537285,0.000537285
27,170.166,0.32385,0.2755,0.81049,0.97363,0.98785,0.98555,0.9389,0.29957,0.23518,0.79308,0.000530216,0.000530216,0.000530216
28,176.545,0.3212,0.2749,0.81241,0.99591,0.99945,0.995,0.95413,0.24443,0.2108,0.78665,0.000523148,0.000523148,0.000523148
29,183.002,0.32632,0.27753,0.81452,0.97876,0.99729,0.98494,0.94587,0.24923,0.219,0.78585,0.000516079,0.000516079,0.000516079
30,189.405,0.33548,0.27481,0.81123,0.97715,0.99907,0.9857,0.94991,0.22902,0.20535,0.78367,0.000509011,0.000509011,0.000509011
31,195.789,0.324,0.27136,0.81003,0.97978,1,0.99463,0.9584,0.2668,0.20831,0.787,0.000501942,0.000501942,0.000501942
32,202.177,0.29971,0.26008,0.80977,0.96007,1,0.97778,0.9505,0.23675,0.20271,0.7804,0.000494873,0.000494873,0.000494873
33,208.274,0.3114,0.27158,0.81345,0.96093,0.99907,0.97585,0.94089,0.25082,0.20886,0.78413,0.000487805,0.000487805,0.000487805
34,214.42,0.30163,0.26257,0.81298,0.97227,0.98365,0.98118,0.94258,0.24536,0.21912,0.78459,0.000480736,0.000480736,0.000480736
35,220.53,0.304,0.26113,0.80619,0.96314,1,0.98306,0.95153,0.21032,0.19943,0.78132,0.000473668,0.000473668,0.000473668
36,226.67,0.29976,0.26379,0.80938,0.96584,0.99813,0.97914,0.93995,0.25808,0.21905,0.78949,0.000466599,0.000466599,0.000466599
37,232.815,0.31151,0.26379,0.81022,0.97651,1,0.99386,0.95253,0.27434,0.21073,0.79089,0.00045953,0.00045953,0.00045953
38,239.013,0.293,0.25625,0.80281,0.96146,1,0.9779,0.94841,0.20985,0.2013,0.77682,0.000452462,0.000452462,0.000452462
39,245.148,0.30132,0.25974,0.80745,0.98,0.98494,0.98463,0.94988,0.21132,0.20235,0.77722,0.000445393,0.000445393,0.000445393
40,251.303,0.28968,0.25193,0.80499,0.97531,0.9954,0.99313,0.9539,0.24178,0.19763,0.78338,0.000438325,0.000438325,0.000438325
41,257.423,0.29463,0.25381,0.80415,0.96675,0.99648,0.9901,0.94642,0.24564,0.20588,0.78191,0.000431256,0.000431256,0.000431256
42,263.573,0.28723,0.25077,0.80542,0.96695,0.9972,0.98488,0.94824,0.24867,0.20204,0.78124,0.000424187,0.000424187,0.000424187
43,269.701,0.28304,0.24818,0.80378,0.96857,1,0.98315,0.95163,0.24671,0.19607,0.78119,0.000417119,0.000417119,0.000417119
44,275.855,0.27689,0.24217,0.80367,0.97005,0.99626,0.98191,0.9457,0.22365,0.19874,0.77947,0.00041005,0.00041005,0.00041005
45,281.957,0.27126,0.24063,0.80206,0.99678,1,0.995,0.97192,0.21253,0.1833,0.77661,0.000402982,0.000402982,0.000402982
46,288.175,0.26499,0.23725,0.80111,0.97269,1,0.98941,0.95912,0.23656,0.20173,0.78177,0.000395913,0.000395913,0.000395913
47,294.274,0.26495,0.24119,0.79806,0.96428,0.9983,0.98502,0.94875,0.21726,0.18899,0.7839,0.000388844,0.000388844,0.000388844
48,300.405,0.26806,0.24394,0.80128,0.96481,0.99907,0.98399,0.9631,0.20471,0.19175,0.77497,0.000381776,0.000381776,0.000381776
49,306.519,0.26754,0.24569,0.79673,0.9733,0.99907,0.99248,0.96981,0.21551,0.18846,0.77781,0.000374707,0.000374707,0.000374707
50,312.661,0.26903,0.23799,0.79568,0.97572,0.99907,0.99266,0.97168,0.21546,0.18235,0.7792,0.000367639,0.000367639,0.000367639
51,318.759,0.25399,0.2331,0.79923,0.96763,0.99813,0.98457,0.9683,0.20907,0.17962,0.77755,0.00036057,0.00036057,0.00036057
52,324.891,0.2578,0.23753,0.80078,0.97508,0.99439,0.99107,0.95846,0.20222,0.18659,0.77836,0.000353501,0.000353501,0.000353501
53,331.005,0.25237,0.23118,0.80089,0.97373,0.99947,0.99164,0.95621,0.21246,0.19092,0.77949,0.000346433,0.000346433,0.000346433
54,337.152,0.26099,0.23862,0.80142,0.97049,0.99907,0.98984,0.9534,0.20882,0.18996,0.78065,0.000339364,0.000339364,0.000339364
55,343.289,0.2513,0.22668,0.79581,0.97163,0.99159,0.98255,0.9533,0.19281,0.19052,0.77477,0.000332296,0.000332296,0.000332296
56,349.394,0.24497,0.22465,0.796,0.96768,0.99754,0.97865,0.95174,0.20299,0.188,0.77707,0.000325227,0.000325227,0.000325227
57,355.557,0.24624,0.22402,0.794,0.97551,0.99513,0.98967,0.95154,0.21071,0.19158,0.78136,0.000318158,0.000318158,0.000318158
58,361.721,0.24373,0.2246,0.79751,0.96591,0.99626,0.98239,0.95351,0.20877,0.18607,0.77432,0.00031109,0.00031109,0.00031109
59,367.932,0.2487,0.22955,0.79459,0.96866,0.9965,0.98277,0.95941,0.18373,0.18036,0.77241,0.000304021,0.000304021,0.000304021
60,374.393,0.24034,0.22154,0.79333,0.98005,0.99626,0.98973,0.96417,0.20554,0.17849,0.77817,0.000296953,0.000296953,0.000296953
61,380.804,0.23564,0.21629,0.79691,0.97249,0.99813,0.98362,0.9547,0.18753,0.17619,0.77233,0.000289884,0.000289884,0.000289884
62,387.195,0.23941,0.22137,0.79539,0.99749,0.99533,0.99447,0.96354,0.199,0.17288,0.7736,0.000282815,0.000282815,0.000282815
63,393.594,0.23861,0.21097,0.79421,0.96558,0.9997,0.97741,0.95355,0.19213,0.17527,0.77318,0.000275747,0.000275747,0.000275747
64,400.029,0.23522,0.21222,0.79527,0.96683,0.99709,0.98075,0.96256,0.17723,0.16765,0.77294,0.000268678,0.000268678,0.000268678
65,406.418,0.24077,0.21651,0.79355,0.96407,1,0.97962,0.95719,0.18781,0.1795,0.77498,0.00026161,0.00026161,0.00026161
66,412.995,0.22493,0.2089,0.794,0.97553,0.99159,0.98672,0.96688,0.1859,0.16729,0.77457,0.000254541,0.000254541,0.000254541
