epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.95935,1.3332,1.88544,1.23567,0.9101,0.89177,0.91501,0.69796,0.86421,0.71647,1.03087,0.00023324,0.00023324,0.00023324
2,13.272,0.9268,0.76684,1.03303,0.95765,0.94547,0.96654,0.72525,0.87064,0.57549,1.05983,0.000466575,0.000466575,0.000466575
3,19.4731,0.81149,0.61793,0.9852,0.96605,0.9518,0.97462,0.76475,0.74753,0.49694,1.01572,0.000695197,0.000695197,0.000695197
4,25.7599,0.75667,0.56687,0.96647,0.942,0.93579,0.96814,0.78344,0.71449,0.48716,0.9657,0.000692794,0.000692794,0.000692794
5,32.1061,0.73778,0.51659,0.96812,0.9818,0.94686,0.97915,0.80694,0.66636,0.40859,0.95144,0.000685726,0.000685726,0.000685726
6,38.4466,0.67312,0.47508,0.9293,0.96056,0.95391,0.97812,0.83641,0.58488,0.37113,0.91318,0.000678657,0.000678657,0.000678657
7,44.7236,0.6623,0.46139,0.93337,0.96726,0.95341,0.97993,0.86135,0.52755,0.348,0.89483,0.000671588,0.000671588,0.000671588
8,51.1809,0.61708,0.44653,0.91426,0.9743,0.95488,0.97998,0.86386,0.52018,0.34463,0.89018,0.00066452,0.00066452,0.00066452
9,57.5392,0.58612,0.42598,0.90202,0.98348,0.95514,0.98093,0.85708,0.52067,0.32872,0.90177,0.000657451,0.000657451,0.000657451
10,63.8879,0.57048,0.41194,0.89813,0.9791,0.95731,0.97895,0.87189,0.4734,0.32875,0.87037,0.000650383,0.000650383,0.000650383
11,70.2517,0.56141,0.40396,0.89278,0.98379,0.95604,0.98263,0.87467,0.47223,0.32304,0.87709,0.000643314,0.000643314,0.000643314
