epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.47488,1.16647,1.62094,1.1378,0.93019,0.92571,0.94356,0.76764,0.66503,0.56733,0.94492,0.00023324,0.00023324,0.00023324
2,12.5414,0.7605,0.60641,0.94953,0.93887,0.95659,0.97381,0.8053,0.6235,0.42057,0.92762,0.000466575,0.000466575,0.000466575
3,18.6135,0.69213,0.49158,0.91954,0.97708,0.96428,0.98195,0.8372,0.54259,0.40786,0.88591,0.000695197,0.000695197,0.000695197
4,24.7407,0.71155,0.46571,0.92247,0.98268,0.96818,0.98555,0.8129,0.64714,0.38052,0.96106,0.000692794,0.000692794,0.000692794
5,30.7362,0.56903,0.39957,0.88545,0.99211,0.96617,0.98551,0.84687,0.59673,0.33562,0.90704,0.000685726,0.000685726,0.000685726
6,36.7579,0.57146,0.37834,0.8776,0.98871,0.96736,0.98633,0.86055,0.52947,0.31543,0.88833,0.000678657,0.000678657,0.000678657
7,42.7286,0.52807,0.36089,0.87381,0.9673,0.98139,0.98351,0.88461,0.42764,0.29908,0.84899,0.000671588,0.000671588,0.000671588
8,48.732,0.50909,0.35539,0.86282,0.97791,0.97967,0.98812,0.87896,0.49489,0.29056,0.8709,0.00066452,0.00066452,0.00066452
9,54.5729,0.48609,0.33449,0.85698,0.98732,0.98409,0.9891,0.8741,0.48735,0.28899,0.88065,0.000657451,0.000657451,0.000657451
10,60.4995,0.47633,0.32875,0.85038,0.9806,0.97069,0.98426,0.91257,0.34433,0.25747,0.81968,0.000650383,0.000650383,0.000650383
11,66.652,0.43788,0.30974,0.84304,0.98339,0.97699,0.98597,0.89902,0.40709,0.2703,0.84398,0.000643314,0.000643314,0.000643314
12,72.5175,0.45138,0.30744,0.84741,0.98127,0.98257,0.98742,0.88953,0.47127,0.27501,0.84867,0.000636245,0.000636245,0.000636245
13,78.2981,0.4111,0.29345,0.83385,0.9823,0.97509,0.98556,0.91665,0.38671,0.24667,0.83185,0.000629177,0.000629177,0.000629177
14,84.1897,0.39286,0.28728,0.82791,0.98188,0.97058,0.98747,0.93112,0.33979,0.23798,0.81728,0.000622108,0.000622108,0.000622108
15,90.0841,0.4173,0.28433,0.8333,0.97363,0.98293,0.98667,0.92679,0.32499,0.22546,0.8144,0.00061504,0.00061504,0.00061504
16,95.8768,0.40139,0.28144,0.83073,0.97307,0.97677,0.98179,0.92183,0.31177,0.22976,0.81467,0.000607971,0.000607971,0.000607971
17,101.668,0.39913,0.28106,0.82556,0.97255,0.97967,0.98471,0.91472,0.40422,0.25114,0.83216,0.000600902,0.000600902,0.000600902
18,107.48,0.36553,0.26429,0.82203,0.97282,0.97866,0.98169,0.91308,0.35409,0.24067,0.8277,0.000593834,0.000593834,0.000593834
19,113.263,0.3804,0.27015,0.82186,0.98656,0.97233,0.98569,0.92661,0.34864,0.22993,0.81771,0.000586765,0.000586765,0.000586765
20,119.061,0.35714,0.25964,0.81836,0.98329,0.97778,0.98685,0.90653,0.4062,0.24147,0.83874,0.000579697,0.000579697,0.000579697
21,124.841,0.34764,0.25513,0.81581,0.98497,0.97449,0.98779,0.92947,0.29803,0.21844,0.80486,0.000572628,0.000572628,0.000572628
22,130.641,0.33073,0.25466,0.81243,0.97766,0.9798,0.98471,0.93219,0.27733,0.22037,0.80123,0.000565559,0.000565559,0.000565559
23,136.612,0.33813,0.2569,0.8132,0.97753,0.97879,0.98624,0.91042,0.38247,0.24517,0.83214,0.000558491,0.000558491,0.000558491
24,142.472,0.32978,0.25246,0.81545,0.99023,0.97857,0.98502,0.93031,0.29693,0.22572,0.80786,0.000551422,0.000551422,0.000551422
25,148.424,0.3349,0.25432,0.81665,0.9718,0.97879,0.98332,0.93099,0.28464,0.21631,0.79932,0.000544354,0.000544354,0.000544354
26,154.324,0.32659,0.25073,0.81358,0.98014,0.98438,0.98673,0.93595,0.27566,0.21355,0.79874,0.000537285,0.000537285,0.000537285
27,160.414,0.33422,0.25576,0.81399,0.97223,0.98699,0.98542,0.93909,0.29537,0.2118,0.80087,0.000530216,0.000530216,0.000530216
28,166.422,0.32108,0.24335,0.81126,0.97346,0.97677,0.98346,0.91479,0.37302,0.23017,0.8245,0.000523148,0.000523148,0.000523148
29,172.308,0.32001,0.24276,0.81056,0.98073,0.97576,0.98423,0.92071,0.32243,0.22149,0.81122,0.000516079,0.000516079,0.000516079
30,178.52,0.30382,0.23291,0.80585,0.97873,0.97475,0.98236,0.94969,0.233,0.1946,0.79051,0.000509011,0.000509011,0.000509011
31,184.492,0.31358,0.24105,0.80906,0.97204,0.97712,0.98236,0.93829,0.25839,0.19983,0.7956,0.000501942,0.000501942,0.000501942
32,190.35,0.3071,0.23888,0.80899,0.97352,0.97442,0.98264,0.94713,0.22582,0.19136,0.7886,0.000494873,0.000494873,0.000494873
33,196.178,0.29096,0.23477,0.80156,0.96652,0.98357,0.98256,0.93855,0.25312,0.19663,0.79354,0.000487805,0.000487805,0.000487805
34,202.015,0.28825,0.23076,0.80906,0.98242,0.97576,0.98338,0.9521,0.21166,0.19565,0.78332,0.000480736,0.000480736,0.000480736
35,207.918,0.28053,0.2287,0.80327,0.97532,0.97576,0.98394,0.92819,0.29917,0.21218,0.80334,0.000473668,0.000473668,0.000473668
36,213.753,0.28481,0.23093,0.80277,0.98401,0.97576,0.9843,0.93267,0.27623,0.20355,0.79857,0.000466599,0.000466599,0.000466599
37,219.834,0.28859,0.22779,0.80376,0.97345,0.98283,0.98679,0.93245,0.28552,0.20362,0.80486,0.00045953,0.00045953,0.00045953
38,226.183,0.28418,0.22221,0.80509,0.97868,0.97426,0.98217,0.93877,0.27751,0.20164,0.79677,0.000452462,0.000452462,0.000452462
39,232.281,0.27506,0.22137,0.80339,0.98133,0.97475,0.98568,0.93477,0.30883,0.19802,0.80738,0.000445393,0.000445393,0.000445393
40,238.362,0.25883,0.2135,0.79697,0.98787,0.96768,0.9832,0.94584,0.22867,0.18403,0.79244,0.000438325,0.000438325,0.000438325
41,244.35,0.26463,0.21818,0.79468,0.97262,0.97879,0.98563,0.9396,0.26634,0.19242,0.80037,0.000431256,0.000431256,0.000431256
42,250.161,0.26226,0.22196,0.79846,0.99255,0.97273,0.9864,0.94949,0.22683,0.18506,0.7895,0.000424187,0.000424187,0.000424187
43,256.004,0.26939,0.22025,0.80291,0.97319,0.9798,0.98414,0.95209,0.19914,0.17622,0.78344,0.000417119,0.000417119,0.000417119
44,262.239,0.26826,0.21897,0.79641,0.97332,0.97605,0.98147,0.93804,0.26632,0.19916,0.79621,0.00041005,0.00041005,0.00041005
45,268.312,0.253,0.21437,0.79322,0.98667,0.97554,0.98808,0.96039,0.2343,0.18329,0.79167,0.000402982,0.000402982,0.000402982
46,274.478,0.25486,0.21201,0.79664,0.9749,0.97778,0.98341,0.95391,0.22106,0.17949,0.78673,0.000395913,0.000395913,0.000395913
47,280.551,0.25007,0.20609,0.79509,0.97531,0.97677,0.98305,0.94084,0.23677,0.18721,0.79448,0.000388844,0.000388844,0.000388844
48,286.62,0.25998,0.21189,0.79599,0.99107,0.97879,0.9877,0.93794,0.25644,0.19103,0.79818,0.000381776,0.000381776,0.000381776
49,292.687,0.25636,0.20721,0.79816,0.98495,0.98302,0.99016,0.9562,0.22276,0.18112,0.78672,0.000374707,0.000374707,0.000374707
50,298.745,0.25168,0.20333,0.79544,0.9861,0.98296,0.98628,0.92736,0.30794,0.19653,0.80554,0.000367639,0.000367639,0.000367639
51,304.822,0.24747,0.20617,0.79378,0.98004,0.97576,0.98504,0.95005,0.23661,0.18052,0.79112,0.00036057,0.00036057,0.00036057
52,311.349,0.2363,0.1991,0.79385,0.97663,0.97576,0.98193,0.95158,0.21295,0.17225,0.78645,0.000353501,0.000353501,0.000353501
53,317.539,0.2396,0.19777,0.79268,0.98387,0.97374,0.98491,0.96017,0.20656,0.17012,0.78188,0.000346433,0.000346433,0.000346433
54,323.643,0.24317,0.2006,0.79531,0.98095,0.97639,0.98485,0.95797,0.18161,0.16458,0.78329,0.000339364,0.000339364,0.000339364
55,329.658,0.23938,0.19604,0.79179,0.98618,0.97374,0.98721,0.94277,0.23984,0.18381,0.79128,0.000332296,0.000332296,0.000332296
56,335.578,0.2243,0.18457,0.78836,0.98299,0.97645,0.98492,0.94641,0.20344,0.17959,0.79074,0.000325227,0.000325227,0.000325227
57,341.566,0.23243,0.1873,0.7903,0.98285,0.97778,0.98525,0.96474,0.20042,0.16576,0.78248,0.000318158,0.000318158,0.000318158
