epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.1073,1.51075,1.5861,1.20916,0.8464,0.80312,0.82176,0.46287,1.50512,0.80802,1.29131,0.000235817,0.000235817,0.000235817
2,29.0306,1.38732,0.77938,1.15214,0.86873,0.82798,0.8717,0.48339,1.50856,0.79005,1.26873,0.000469126,0.000469126,0.000469126
3,42.6074,1.37416,0.72531,1.14229,0.91208,0.84349,0.88199,0.54405,1.3762,0.68138,1.18912,0.000697723,0.000697723,0.000697723
4,56.2568,1.34414,0.68243,1.12192,0.90659,0.87471,0.90454,0.55563,1.37069,0.64922,1.18246,0.000692794,0.000692794,0.000692794
5,69.7436,1.31938,0.65145,1.11971,0.90992,0.86294,0.90883,0.55706,1.36511,0.61293,1.19099,0.000685726,0.000685726,0.000685726
6,83.3165,1.29047,0.63284,1.09533,0.90837,0.85158,0.91039,0.57711,1.32521,0.64234,1.1509,0.000678657,0.000678657,0.000678657
7,97.007,1.29375,0.6133,1.10265,0.92362,0.89611,0.93154,0.58742,1.30145,0.57823,1.1373,0.000671588,0.000671588,0.000671588
8,110.359,1.2677,0.60019,1.0823,0.90023,0.89297,0.9318,0.59289,1.30668,0.58872,1.14021,0.00066452,0.00066452,0.00066452
9,123.584,1.24239,0.585,1.06772,0.88925,0.90696,0.92538,0.58911,1.28281,0.58203,1.12606,0.000657451,0.000657451,0.000657451
10,136.768,1.24085,0.58832,1.07211,0.91377,0.8991,0.93731,0.60164,1.25897,0.56157,1.11111,0.000650383,0.000650383,0.000650383
11,149.962,1.23843,0.56444,1.06698,0.92929,0.90533,0.94783,0.61018,1.27078,0.55519,1.11296,0.000643314,0.000643314,0.000643314
12,163.363,1.20855,0.5572,1.06175,0.93553,0.90999,0.9471,0.60875,1.24728,0.52895,1.11358,0.000636245,0.000636245,0.000636245
