epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.79694,0.65472,1.08627,0.8399,0.99593,0.98887,0.99246,0.91596,0.38679,0.36971,0.77979,0.000408497,0.000408497,0.000408497
2,12.9794,0.44399,0.35378,0.79707,0.99503,0.98979,0.99437,0.92332,0.38511,0.30195,0.7732,0.000816994,0.000816994,0.000816994
3,19.0455,0.41844,0.32761,0.79858,0.9979,0.9907,0.99364,0.92267,0.38641,0.31628,0.77753,0.00121724,0.00121724,0.00121724
4,24.9917,0.43018,0.35388,0.79145,0.99927,0.98916,0.99424,0.926,0.36788,0.28285,0.77232,0.00121287,0.00121287,0.00121287
5,31.0566,0.39982,0.29877,0.79348,0.99774,0.99072,0.99463,0.9494,0.29534,0.24604,0.76841,0.0012005,0.0012005,0.0012005
6,37.0788,0.3649,0.2759,0.78378,0.999,0.99105,0.99462,0.95026,0.30341,0.24726,0.76684,0.00118812,0.00118812,0.00118812
7,43.2822,0.32945,0.25553,0.77955,0.99752,0.99137,0.99488,0.96438,0.26493,0.20833,0.76184,0.00117575,0.00117575,0.00117575
8,49.355,0.34672,0.24758,0.78243,0.99635,0.99448,0.99498,0.96234,0.25306,0.20789,0.76126,0.00116337,0.00116337,0.00116337
9,55.365,0.3177,0.2354,0.77898,0.99907,0.99263,0.99481,0.9692,0.24705,0.20049,0.76432,0.001151,0.001151,0.001151
10,61.4192,0.31428,0.23571,0.78281,0.99926,0.99069,0.99414,0.9737,0.2197,0.1944,0.76101,0.00113863,0.00113863,0.00113863
11,67.4453,0.30337,0.22739,0.77335,0.99681,0.99448,0.99498,0.95667,0.27797,0.21164,0.76115,0.00112625,0.00112625,0.00112625
12,73.4099,0.30221,0.22835,0.7762,0.99682,0.9906,0.9948,0.95783,0.266,0.20685,0.76404,0.00111388,0.00111388,0.00111388
13,79.4238,0.27889,0.21635,0.77529,0.99756,0.99108,0.99482,0.97205,0.2176,0.18387,0.75845,0.0011015,0.0011015,0.0011015
14,85.3817,0.26971,0.21152,0.77811,0.99882,0.994,0.995,0.98323,0.20493,0.1751,0.75878,0.00108913,0.00108913,0.00108913
15,91.5629,0.27801,0.20814,0.77455,0.99751,0.99215,0.99494,0.97321,0.23784,0.18335,0.76294,0.00107675,0.00107675,0.00107675
16,97.5124,0.2675,0.20227,0.77459,0.99895,0.9943,0.995,0.97852,0.21225,0.17242,0.76027,0.00106437,0.00106437,0.00106437
17,103.459,0.2624,0.20219,0.77504,0.99884,0.99121,0.99418,0.97471,0.22376,0.18801,0.76089,0.001052,0.001052,0.001052
18,109.404,0.25035,0.19403,0.77055,0.99914,0.99441,0.995,0.96948,0.23395,0.18311,0.75921,0.00103962,0.00103962,0.00103962
19,115.359,0.26991,0.20374,0.77652,0.9965,0.99427,0.99498,0.97366,0.22071,0.17689,0.75894,0.00102725,0.00102725,0.00102725
20,121.321,0.24637,0.19144,0.77291,0.99743,0.99399,0.99498,0.98,0.19066,0.16182,0.75849,0.00101488,0.00101488,0.00101488
