epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.16135,1.1198,1.67734,1.13286,0.86971,0.81614,0.87499,0.65544,0.8226,0.78461,0.97677,0.000233333,0.000233333,0.000233333
2,13.6662,0.76755,0.64128,0.96717,0.9306,0.86081,0.92197,0.72385,0.6586,0.6444,0.93816,0.000466667,0.000466667,0.000466667
3,20.0105,0.68372,0.52392,0.92897,0.96075,0.92582,0.95682,0.72604,0.7075,0.44748,0.98579,0.000695289,0.000695289,0.000695289
4,26.3532,0.64905,0.47867,0.91814,0.97917,0.94026,0.96948,0.79434,0.51207,0.37277,0.89675,0.000692794,0.000692794,0.000692794
5,32.6835,0.62951,0.44335,0.91539,0.9638,0.9361,0.96397,0.80161,0.53474,0.36624,0.90087,0.000685726,0.000685726,0.000685726
6,38.9707,0.61167,0.4317,0.90875,0.97381,0.9219,0.95782,0.81271,0.49801,0.3589,0.88389,0.000678657,0.000678657,0.000678657
7,45.2782,0.54816,0.39051,0.89067,0.98988,0.95866,0.97372,0.83204,0.48057,0.3131,0.87618,0.000671588,0.000671588,0.000671588
8,51.6033,0.50994,0.36972,0.87675,0.94165,0.94458,0.96547,0.79528,0.54419,0.32602,0.90224,0.00066452,0.00066452,0.00066452
9,57.8383,0.5177,0.36934,0.87448,0.98028,0.95069,0.96987,0.85123,0.37479,0.27897,0.83913,0.000657451,0.000657451,0.000657451
10,64.1178,0.47919,0.35604,0.86963,0.9957,0.94537,0.97091,0.82897,0.43667,0.29056,0.86457,0.000650383,0.000650383,0.000650383
11,70.5133,0.45909,0.33942,0.86299,0.96366,0.9479,0.96604,0.86587,0.38067,0.2753,0.83778,0.000643314,0.000643314,0.000643314
12,76.9128,0.485,0.3529,0.86292,0.9806,0.95068,0.97347,0.84674,0.42553,0.28274,0.85461,0.000636245,0.000636245,0.000636245
13,83.1997,0.45016,0.32386,0.86072,0.97951,0.95843,0.97029,0.87045,0.37365,0.26097,0.83949,0.000629177,0.000629177,0.000629177
14,89.6333,0.44016,0.31719,0.85234,0.97528,0.95949,0.97439,0.87954,0.34866,0.26334,0.82907,0.000622108,0.000622108,0.000622108
15,95.9229,0.41947,0.30886,0.84787,0.97644,0.96232,0.97494,0.88655,0.33806,0.24907,0.82111,0.00061504,0.00061504,0.00061504
16,102.219,0.42473,0.30967,0.8474,0.97563,0.94847,0.97054,0.89406,0.3434,0.24131,0.82808,0.000607971,0.000607971,0.000607971
17,108.452,0.41479,0.3057,0.84245,0.97049,0.94262,0.9716,0.88687,0.31282,0.233,0.82159,0.000600902,0.000600902,0.000600902
18,114.589,0.40053,0.2876,0.83962,0.98552,0.95502,0.97554,0.89331,0.33091,0.23961,0.82507,0.000593834,0.000593834,0.000593834
19,120.736,0.39605,0.29386,0.83707,0.96073,0.96878,0.97372,0.87372,0.3698,0.24882,0.83461,0.000586765,0.000586765,0.000586765
20,126.892,0.3835,0.28864,0.83299,0.97175,0.9589,0.9775,0.87982,0.35482,0.24308,0.83121,0.000579697,0.000579697,0.000579697
21,133.045,0.38857,0.28138,0.83128,0.97905,0.9628,0.97705,0.89015,0.38018,0.24282,0.839,0.000572628,0.000572628,0.000572628
22,139.187,0.38304,0.2839,0.83875,0.97779,0.96895,0.97405,0.88871,0.30628,0.22453,0.81532,0.000565559,0.000565559,0.000565559
23,145.414,0.37697,0.29531,0.83073,0.97541,0.95301,0.96535,0.89693,0.29395,0.23141,0.81229,0.000558491,0.000558491,0.000558491
24,152.038,0.3823,0.29297,0.83449,0.97322,0.95994,0.97643,0.90837,0.27926,0.21618,0.8085,0.000551422,0.000551422,0.000551422
25,158.325,0.36796,0.27516,0.82857,0.98505,0.95263,0.97255,0.89795,0.28531,0.22052,0.80898,0.000544354,0.000544354,0.000544354
26,164.65,0.34533,0.26307,0.82953,0.98149,0.95304,0.97782,0.91465,0.27598,0.20905,0.8059,0.000537285,0.000537285,0.000537285
27,171.18,0.35459,0.27199,0.82673,0.98284,0.95975,0.98292,0.9137,0.29997,0.22163,0.81525,0.000530216,0.000530216,0.000530216
28,177.504,0.34642,0.26306,0.82766,0.98412,0.96406,0.97572,0.90669,0.27128,0.20564,0.80723,0.000523148,0.000523148,0.000523148
29,183.755,0.34979,0.26752,0.83376,0.98623,0.95134,0.97854,0.90991,0.28733,0.20927,0.81099,0.000516079,0.000516079,0.000516079
30,190.01,0.34082,0.25759,0.82221,0.9837,0.95986,0.97867,0.91177,0.28775,0.20822,0.81024,0.000509011,0.000509011,0.000509011
31,196.329,0.33027,0.25071,0.81781,0.9724,0.97,0.98132,0.91435,0.2888,0.20435,0.80818,0.000501942,0.000501942,0.000501942
32,202.691,0.34275,0.25394,0.82479,0.96123,0.95377,0.97324,0.92037,0.2842,0.21773,0.80612,0.000494873,0.000494873,0.000494873
33,209.101,0.33325,0.26121,0.82509,0.97686,0.95246,0.97365,0.90912,0.2709,0.20932,0.80325,0.000487805,0.000487805,0.000487805
34,215.408,0.31672,0.24614,0.82063,0.99152,0.95441,0.97899,0.91336,0.27249,0.20429,0.80987,0.000480736,0.000480736,0.000480736
35,221.72,0.32077,0.24956,0.81537,0.97397,0.9626,0.97951,0.92282,0.24208,0.19716,0.8008,0.000473668,0.000473668,0.000473668
36,228.124,0.32003,0.24982,0.82412,0.98775,0.95549,0.97989,0.90887,0.29439,0.20612,0.81695,0.000466599,0.000466599,0.000466599
37,234.406,0.3164,0.2437,0.81827,0.97355,0.95771,0.97381,0.9259,0.23382,0.18562,0.79618,0.00045953,0.00045953,0.00045953
38,240.721,0.33097,0.2573,0.82555,0.97384,0.95826,0.97019,0.91915,0.23611,0.1883,0.798,0.000452462,0.000452462,0.000452462
39,246.998,0.309,0.2416,0.81873,0.98159,0.95451,0.97503,0.91866,0.25387,0.18875,0.80006,0.000445393,0.000445393,0.000445393
40,253.241,0.29649,0.23571,0.81264,0.98202,0.95641,0.97711,0.92482,0.22865,0.18209,0.7965,0.000438325,0.000438325,0.000438325
41,259.555,0.30329,0.23412,0.81053,0.97764,0.95496,0.96957,0.92017,0.24119,0.19058,0.80654,0.000431256,0.000431256,0.000431256
42,265.745,0.29419,0.23322,0.81591,0.98764,0.95786,0.9772,0.90718,0.27653,0.19663,0.80483,0.000424187,0.000424187,0.000424187
43,271.993,0.28799,0.22843,0.8117,0.97547,0.95786,0.97385,0.92824,0.21076,0.17533,0.79192,0.000417119,0.000417119,0.000417119
44,278.405,0.30913,0.23683,0.80943,0.98041,0.96267,0.97334,0.90166,0.30056,0.20239,0.81098,0.00041005,0.00041005,0.00041005
45,284.956,0.30105,0.23141,0.81335,0.97851,0.95788,0.97717,0.92584,0.23073,0.18476,0.79555,0.000402982,0.000402982,0.000402982
46,291.533,0.28335,0.22469,0.8068,0.99039,0.95498,0.97596,0.9303,0.21986,0.17397,0.79506,0.000395913,0.000395913,0.000395913
47,297.927,0.27739,0.21725,0.80799,0.96686,0.95945,0.97182,0.93327,0.21054,0.17047,0.79147,0.000388844,0.000388844,0.000388844
48,304.201,0.29571,0.23402,0.81048,0.98358,0.94912,0.97398,0.92631,0.22742,0.18353,0.79254,0.000381776,0.000381776,0.000381776
49,310.395,0.27424,0.21892,0.81019,0.97859,0.9612,0.97923,0.92397,0.23988,0.181,0.79462,0.000374707,0.000374707,0.000374707
50,316.565,0.26325,0.21089,0.80303,0.98445,0.95402,0.97531,0.92919,0.23851,0.17846,0.7971,0.000367639,0.000367639,0.000367639
51,322.769,0.27044,0.21951,0.81069,0.98136,0.96467,0.97332,0.9111,0.27562,0.18748,0.80572,0.00036057,0.00036057,0.00036057
52,328.972,0.27095,0.21312,0.80817,0.9719,0.96333,0.97652,0.93293,0.21954,0.17319,0.79328,0.000353501,0.000353501,0.000353501
53,335.218,0.26238,0.21047,0.80352,0.9737,0.9655,0.97726,0.93133,0.22859,0.17172,0.79245,0.000346433,0.000346433,0.000346433
54,341.461,0.26878,0.21771,0.80655,0.98615,0.9504,0.97501,0.92182,0.22884,0.1737,0.79354,0.000339364,0.000339364,0.000339364
55,347.667,0.26599,0.21015,0.80437,0.96724,0.95337,0.97317,0.91634,0.23706,0.17657,0.79904,0.000332296,0.000332296,0.000332296
56,353.869,0.26188,0.21481,0.80304,0.97187,0.95557,0.97742,0.93226,0.21888,0.16659,0.79445,0.000325227,0.000325227,0.000325227
57,360.035,0.25399,0.20545,0.8066,0.98787,0.95382,0.97756,0.92153,0.22906,0.17284,0.7962,0.000318158,0.000318158,0.000318158
58,366.205,0.26421,0.21206,0.80096,0.9829,0.95166,0.97747,0.928,0.21021,0.16917,0.79246,0.00031109,0.00031109,0.00031109
59,372.457,0.25188,0.20263,0.80434,0.99347,0.959,0.9824,0.93411,0.20943,0.16519,0.79202,0.000304021,0.000304021,0.000304021
60,378.809,0.25087,0.20305,0.8014,0.96749,0.96851,0.97715,0.93217,0.20884,0.16459,0.79227,0.000296953,0.000296953,0.000296953
61,384.979,0.24262,0.19898,0.80281,0.97775,0.9639,0.97817,0.93338,0.19198,0.15465,0.78993,0.000289884,0.000289884,0.000289884
62,391.128,0.25276,0.20427,0.79876,0.98173,0.9595,0.98002,0.93395,0.22454,0.16925,0.79324,0.000282815,0.000282815,0.000282815
63,397.312,0.25195,0.20442,0.80284,0.99024,0.94881,0.9773,0.9331,0.19219,0.16057,0.78898,0.000275747,0.000275747,0.000275747
64,403.542,0.24304,0.20179,0.80126,0.97949,0.95915,0.97811,0.92518,0.21518,0.16694,0.78942,0.000268678,0.000268678,0.000268678
65,409.848,0.24441,0.19869,0.8024,0.9854,0.95237,0.97942,0.93691,0.1851,0.15385,0.78737,0.00026161,0.00026161,0.00026161
66,416.183,0.23862,0.19218,0.79635,0.96565,0.96588,0.97745,0.93207,0.20415,0.16693,0.7884,0.000254541,0.000254541,0.000254541
67,422.442,0.23979,0.19332,0.79831,0.9706,0.95268,0.97166,0.92697,0.19662,0.15194,0.79084,0.000247472,0.000247472,0.000247472
68,428.672,0.23895,0.19412,0.80074,0.97975,0.94932,0.97308,0.93701,0.20887,0.1614,0.78919,0.000240404,0.000240404,0.000240404
69,435.997,0.23041,0.19067,0.79985,0.98008,0.96001,0.97717,0.93581,0.18207,0.15176,0.78604,0.000233335,0.000233335,0.000233335
70,442.275,0.22441,0.18849,0.7968,0.97185,0.96339,0.97562,0.93069,0.18946,0.15884,0.7891,0.000226267,0.000226267,0.000226267
71,448.469,0.23173,0.18938,0.79417,0.98598,0.95404,0.97922,0.93606,0.18645,0.15064,0.7901,0.000219198,0.000219198,0.000219198
72,454.703,0.22899,0.18865,0.79883,0.97132,0.96518,0.97674,0.93347,0.1903,0.15922,0.78792,0.000212129,0.000212129,0.000212129
73,461.011,0.2246,0.18911,0.79678,0.99689,0.95278,0.97655,0.93257,0.18526,0.15407,0.78848,0.000205061,0.000205061,0.000205061
74,467.264,0.22225,0.18254,0.79844,0.97847,0.95584,0.97498,0.9381,0.18334,0.14625,0.78768,0.000197992,0.000197992,0.000197992
75,473.577,0.21572,0.17802,0.79136,0.97068,0.95875,0.97336,0.92894,0.23074,0.16357,0.79522,0.000190924,0.000190924,0.000190924
76,479.81,0.21844,0.18156,0.79227,0.96823,0.9595,0.97322,0.93327,0.19484,0.15138,0.78958,0.000183855,0.000183855,0.000183855
77,486.041,0.21553,0.18048,0.79847,0.97004,0.96542,0.97109,0.9216,0.19523,0.1634,0.78884,0.000176786,0.000176786,0.000176786
78,492.288,0.21119,0.17564,0.79123,0.96668,0.95762,0.96933,0.93077,0.16988,0.14676,0.78513,0.000169718,0.000169718,0.000169718
79,498.562,0.21387,0.17687,0.79397,0.97598,0.95413,0.97444,0.92956,0.18471,0.14913,0.78764,0.000162649,0.000162649,0.000162649
80,504.797,0.2072,0.17302,0.79124,0.978,0.95058,0.97385,0.93633,0.16963,0.14449,0.78461,0.000155581,0.000155581,0.000155581
81,511.024,0.20938,0.17557,0.79307,0.96294,0.96383,0.96799,0.92382,0.19432,0.15031,0.79053,0.000148512,0.000148512,0.000148512
82,517.191,0.20647,0.17083,0.79432,0.96775,0.96307,0.97256,0.93392,0.18084,0.14782,0.7866,0.000141443,0.000141443,0.000141443
83,523.407,0.19955,0.16866,0.79209,0.97262,0.95727,0.97319,0.92832,0.17794,0.15114,0.78799,0.000134375,0.000134375,0.000134375
84,529.775,0.19653,0.16821,0.79504,0.96945,0.96385,0.97471,0.92988,0.17407,0.14256,0.78897,0.000127306,0.000127306,0.000127306
85,535.993,0.19474,0.16534,0.78874,0.98065,0.95322,0.97473,0.92712,0.18502,0.14654,0.78862,0.000120238,0.000120238,0.000120238
86,542.199,0.19256,0.16428,0.79134,0.9804,0.95138,0.97469,0.93693,0.17299,0.13854,0.78786,0.000113169,0.000113169,0.000113169
87,548.556,0.19552,0.16162,0.78993,0.9855,0.95398,0.97425,0.93034,0.17012,0.1401,0.79223,0.0001061,0.0001061,0.0001061
88,554.925,0.20045,0.16439,0.79136,0.98048,0.96268,0.97468,0.92942,0.18174,0.14728,0.79075,9.90318e-05,9.90318e-05,9.90318e-05
89,561.176,0.19523,0.16383,0.7899,0.98066,0.95521,0.97462,0.92939,0.18928,0.14175,0.79918,9.19632e-05,9.19632e-05,9.19632e-05
90,567.419,0.18972,0.16112,0.78934,0.979,0.96224,0.97613,0.93346,0.17763,0.13853,0.79488,8.48946e-05,8.48946e-05,8.48946e-05
91,584.562,0.15718,0.12803,0.77028,0.98086,0.9524,0.97243,0.93999,0.18036,0.14091,0.78789,7.7826e-05,7.7826e-05,7.7826e-05
92,590.939,0.1554,0.13055,0.7744,0.97777,0.95881,0.97201,0.93349,0.17871,0.14361,0.78947,7.07574e-05,7.07574e-05,7.07574e-05
93,597.135,0.15369,0.12942,0.77068,0.97373,0.95243,0.9693,0.92921,0.17364,0.1416,0.78805,6.36888e-05,6.36888e-05,6.36888e-05
94,603.292,0.14956,0.12458,0.7731,0.96579,0.96607,0.97258,0.93757,0.18361,0.14127,0.79122,5.66202e-05,5.66202e-05,5.66202e-05
95,609.468,0.14669,0.1213,0.77108,0.98169,0.95355,0.97158,0.9438,0.1801,0.13615,0.78889,4.95516e-05,4.95516e-05,4.95516e-05
96,615.689,0.14274,0.11936,0.76889,0.97919,0.95203,0.9727,0.94019,0.171,0.1365,0.78785,4.2483e-05,4.2483e-05,4.2483e-05
