epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.31114,1.2173,1.77881,1.17501,0.87959,0.7909,0.83722,0.6101,0.87106,1.05749,1.06105,0.000233333,0.000233333,0.000233333
2,13.87,0.84185,0.74154,1.00686,0.9341,0.90289,0.94303,0.74549,0.69098,0.58124,0.96824,0.000466667,0.000466667,0.000466667
3,20.673,0.76158,0.60269,0.96764,0.9523,0.91832,0.94991,0.77121,0.62569,0.50896,0.94268,0.000695289,0.000695289,0.000695289
4,27.3969,0.72747,0.54865,0.95317,0.96395,0.94709,0.97112,0.81054,0.5558,0.39868,0.9153,0.000692794,0.000692794,0.000692794
5,34.0189,0.72283,0.51431,0.95416,0.95591,0.93884,0.95922,0.77622,0.56348,0.40332,0.91662,0.000685726,0.000685726,0.000685726
6,40.2961,0.66393,0.45374,0.92319,0.96567,0.93558,0.96235,0.7612,0.69305,0.3927,0.95647,0.000678657,0.000678657,0.000678657
7,46.638,0.61791,0.42282,0.91378,0.96993,0.93397,0.96324,0.80619,0.52805,0.35354,0.89611,0.000671588,0.000671588,0.000671588
8,52.9844,0.58032,0.40006,0.89735,0.98352,0.93679,0.96199,0.82932,0.4749,0.32018,0.88263,0.00066452,0.00066452,0.00066452
9,59.3254,0.56148,0.39124,0.89046,0.96091,0.95716,0.96847,0.84913,0.4247,0.29902,0.85941,0.000657451,0.000657451,0.000657451
10,65.6965,0.55582,0.39219,0.89261,0.98973,0.94497,0.96863,0.84926,0.45249,0.30952,0.86847,0.000650383,0.000650383,0.000650383
11,72.2282,0.53567,0.37398,0.88689,0.98197,0.93614,0.96955,0.84284,0.44122,0.2914,0.86849,0.000643314,0.000643314,0.000643314
12,78.7417,0.52501,0.37166,0.88556,0.97565,0.93755,0.9713,0.8429,0.43624,0.29343,0.86611,0.000636245,0.000636245,0.000636245
13,85.0945,0.50898,0.35242,0.87792,0.9753,0.94319,0.9692,0.8656,0.40533,0.27237,0.84571,0.000629177,0.000629177,0.000629177
14,91.7313,0.50777,0.34683,0.87596,0.98893,0.92736,0.96667,0.86182,0.4212,0.27082,0.85327,0.000622108,0.000622108,0.000622108
15,98.2319,0.49599,0.33176,0.87005,0.97597,0.93299,0.96484,0.87019,0.36334,0.25648,0.83509,0.00061504,0.00061504,0.00061504
16,104.63,0.47068,0.32157,0.86044,0.98246,0.93632,0.96921,0.87275,0.36213,0.2583,0.83794,0.000607971,0.000607971,0.000607971
17,111.038,0.4713,0.3339,0.86008,0.96815,0.94258,0.96198,0.86478,0.36889,0.25466,0.83752,0.000600902,0.000600902,0.000600902
18,117.369,0.46472,0.32016,0.85979,0.9613,0.95433,0.96801,0.86439,0.39387,0.26079,0.84618,0.000593834,0.000593834,0.000593834
19,123.818,0.45041,0.31923,0.8534,0.96939,0.95397,0.97627,0.87825,0.38885,0.25342,0.84531,0.000586765,0.000586765,0.000586765
20,130.229,0.42983,0.30693,0.85074,0.97206,0.93877,0.97136,0.88493,0.35727,0.25535,0.83452,0.000579697,0.000579697,0.000579697
21,136.64,0.44895,0.30979,0.85199,0.98158,0.93878,0.96812,0.85773,0.44238,0.26206,0.86006,0.000572628,0.000572628,0.000572628
22,143.023,0.42763,0.30032,0.8481,0.98323,0.95024,0.97362,0.89519,0.34813,0.23992,0.82563,0.000565559,0.000565559,0.000565559
23,149.546,0.41342,0.29208,0.84187,0.98341,0.94287,0.97324,0.89123,0.33314,0.2329,0.82545,0.000558491,0.000558491,0.000558491
24,156.004,0.42466,0.29687,0.84726,0.98358,0.94724,0.97174,0.88467,0.35987,0.2423,0.83336,0.000551422,0.000551422,0.000551422
25,162.286,0.40147,0.28831,0.84362,0.95291,0.92896,0.96351,0.88022,0.32411,0.23443,0.82666,0.000544354,0.000544354,0.000544354
26,168.555,0.40862,0.2893,0.84804,0.96471,0.94436,0.97221,0.89347,0.33562,0.23663,0.82742,0.000537285,0.000537285,0.000537285
27,174.836,0.39693,0.29127,0.84111,0.97795,0.94888,0.97382,0.88813,0.34402,0.23866,0.83124,0.000530216,0.000530216,0.000530216
28,181.121,0.3947,0.28949,0.83546,0.987,0.93365,0.9719,0.8926,0.30822,0.22122,0.82184,0.000523148,0.000523148,0.000523148
29,187.498,0.38113,0.27665,0.84319,0.98591,0.94498,0.97027,0.89714,0.3173,0.22417,0.82044,0.000516079,0.000516079,0.000516079
30,193.856,0.38023,0.27355,0.83628,0.98157,0.93261,0.97191,0.89287,0.30777,0.22179,0.81934,0.000509011,0.000509011,0.000509011
31,200.142,0.38104,0.27483,0.83144,0.96215,0.95356,0.97397,0.90155,0.29192,0.21824,0.81501,0.000501942,0.000501942,0.000501942
32,206.508,0.36071,0.26909,0.82844,0.97583,0.94124,0.97453,0.89756,0.31038,0.22625,0.81539,0.000494873,0.000494873,0.000494873
33,212.757,0.38016,0.28038,0.83453,0.98548,0.94829,0.97745,0.90095,0.31372,0.2181,0.82119,0.000487805,0.000487805,0.000487805
34,219.102,0.3968,0.29023,0.84452,0.98393,0.93127,0.97418,0.89082,0.32798,0.2219,0.82531,0.000480736,0.000480736,0.000480736
35,225.378,0.3644,0.26836,0.82995,0.97427,0.94584,0.97898,0.9036,0.30007,0.21011,0.81986,0.000473668,0.000473668,0.000473668
